,speaker,twitter_handle,followers,tweets,verified
470,david dooley,david__dooley,1127,10437,0
471,david brooks,nytdavidbrooks,187125,917,1
472,alex wan,AlexWanforATL,2067,1589,1
473,steve stockman,Stoxo,2674,9304,0
474,nan rich,senatornanrich,3286,1268,0
475,donna campbell,DonnaCampbellTX,9172,4984,1
476,stephen zappala,zappala2,16,0,0
477,brit hume,brithume,1026175,19448,1
478,kyleen wright,kyleenwright,2491,29219,0
479,tammy baldwin,tammybaldwin,48675,4715,1
480,nowthis,nowthisnews,2280606,121850,1
481,joe pojman,joepojman,1957,4987,0
482,bill haslam,BillHaslam,143092,1978,1
483,robert dimuccio,robertdimuccioo,268,1130,0
484,trimet,trimetalerts,3028,3749,0
485,josh shapiro,JoshShapiroPA,22929,11789,1
486,bill mccollum,BillMcCollum,3980,553,0
487,alexi giannoulias,Giannoulias,3458,2772,0
488,joseph testa,josephvtesta,659,12318,0
489,alfonso lopez,alfonsolopez3,497,5428,0
490,loranne ausley,LoranneAusley,1714,736,1
491,blake farenthold,farenthold,19232,6487,1
492,tom colicchio,tomcolicchio,929037,36941,1
493,robert healey,roberthealey,484,142,0
494,ed schultz,edshow,190863,25455,1
495,glenn greenwald,ggreenwald,1034142,57210,1
496,allen peake,AllenPeake,4676,5407,0
497,vern buchanan,VernBuchanan ‏,28697,2607,1
498,amy klobuchar,amyklobuchar,693605,8878,1
499,george barker,GBarks33,2670,1924,0
500,rosa delauro,rosadelauro,40868,6853,1
501,jason carter,jjcforever,32931,22756,1
502,judson hill,Judsonhill,3108,3561,0
503,chris gregoire,chris_gregoire,228,3936,0
504,bill cassidy,BillCassidy,41984,5711,1
505,jay carney,JayCarney,41705,3625,1
506,fran millar,Fran_Millar,5868,906,0
507,waco tea party,WacoTeaParty,2684,7110,0
508,gretchen carlson,GretchenCarlson,106327,19457,1
509,steny hoyer,StenyHoyer,5123,1162,1
510,fidelis,FidelisCare,38636,14912,1
511,elliott naishtat,ElliottNaishtat,1837,5,0
512,dan lungren,RepDanLungren,692,464,0
513,kris jordan,KrisJordan,1719,4235,0
514,michael thurmond,PreservesOfLife,42,2139,0
515,lynn jenkins,jenkslyn,936,10884,0
516,keith stokes,drkeithstokes,1563,1026,0
517,dan sullivan,SenDanSullivan ‏,36310,2388,1
518,bob sears,SearsBob,75,98,0
519,georgia lottery,GeorgiaLottery,12487,5565,0
520,greta van susteren,greta,1204085,155592,1
521,mike collier,MikeCollierWX,12548,19342,1
522,gayle atteberry,GayleAtteberry,703,1610,0
523,chuck baldwin,drchuckbaldwin,2379,650,0
524,casey cagle,CaseyCagle,23219,3682,1
525,bob donovan,BobDonovan12,282,283,0
526,occupy democrats,OccupyDemocrats,45268,48612,0
527,john carlevale,johncarlevale,172,149,0
528,mike villarreal,MikeVillarreal,4793,1846,0
529,snapchat,Snapchat,2102766,6710,1
530,kim simac,KimSimac,770,3527,0
531,ken plum,KenPlum1,1702,4777,0
532,clay aiken,clayaiken,242198,2407,1
533,joe brown,joemfbrown,24088,24742,1
534,house republicans,HouseGOP,709758,20286,1
535,ana navarro,ananavarro,1153361,22801,1
536,travis rowley,travisrowley,369,182,0
537,tom harkin,SenatorHarkin,21630,2578,1
538,mark butler,Mark_Butler_MP,27490,4999,1
539,steve case,SteveCase,747972,54204,1
540,molly white,molly0x57,1606,4741,0
541,sheila resseger,sheilaresseger,270,8412,0
542,robert hurt,RepRobertHurt,15590,2637,1
543,don beyer,DonBeyerVA,4647,2991,1
544,jan brewer,GovBrewer,55237,2655,1
545,frank luntz,FrankLuntz,262431,23199,1
546,ron ramsey,RonRamsey,52810,3249,1
547,robert reich,RBReich,673370,9976,1
548,jim huffman,JimWHuffman,2028,963,0
549,ron desantis,RonDeSantisFL,151558,2163,1
550,steve crisafulli,SteveCrisafulli,12273,1255,0
551,jim hightower,JimHightower,10435,2851,1
552,gavin newsom,GavinNewsom,1434348,11029,1
553,brendan doherty,bdoherty48,418,80,0
554,dale peterson,digitalbond,5663,7602,0
555,mark sickles,MarkSicklesVA,3669,960,0
556,jeff stone,jeffstone500,2522,2018,1
557,sher valenzuela,SherValenzuela1,245,23,0
558,charlie gonzalez,TX20CharlieG,2419,1036,1
559,independence usa pac,iusapac,3,0,0
560,steve forbes,SteveForbesCEO,226414,15718,1
561,john stone,JohnStoneBeef,1219,2096,0
562,chris dodd,SenChrisDodd,17069,917,1
563,mark clayton,MarkClaytonD9,2586,1129,0
564,kelli stargel,kellistargel,5360,909,0
565,john duncan,JohnDuncanMP,877,178,1
566,secure america now,SecureAmerica,39391,18748,0
567,russell mcmurry,russell_mcmurry,3,0,0
568,lamar mckay,lamar80726859,2,3,0
569,ed rendell,GovEdRendell,15789,1849,1
570,catherine taylor,KatyaTaylor,7746,30010,0
571,benjamin crump,AttorneyCrump,46470,17072,1
572,mike honda,RepMikeHonda,23506,2920,1
573,josh burgin,therealjosh44,70,4895,0
574,martin frost,martinjfrost,895,2252,0
575,ronan farrow,RonanFarrow,809469,10117,1
576,richard blumenthal,SenBlumenthal,581714,12049,1
577,fred upton,RepFredUpton,24726,6087,1
578,herb conaway,herbconaway,3187,1241,0
579,ellen freidin,EllenFreidin,6,1,0
580,randy hopper,RHopper4130,14,1,0
581,mark drewniak,idunnocalliesda,0,1,0
582,let freedom ring,lfrusa,5678,2100,1
583,zell miller,ZellMillerFndn,610,425,0
584,rodney frelinghuysen,frelinghuysen,0,0,0
585,donald trump jr,DonaldJTrumpJr,3547641,28176,1
586,martha laning,laningforwi,1341,1237,0
587,starbucks,Starbucks,11374911,184552,1
588,vince megna,vincemegna,155,2112,0
589,mark pryor,MarkPryorBooks,759,1659,0
590,erika sanzi,esanzi,3240,51397,0
591,chris larson,ChrisJLarson,8965,8375,1
592,paul sadler,sadlerimages,3106,5827,0
593,heather fiorentino,hfiorentino47,267,803,0
594,stephen hayes,stephenfhayes,321268,23112,1
595,debbie stabenow,stabenow,50746,2103,1
596,jim kenney,JimFKenney,31891,8537,1
597,michelle rehwinkel vasilinda,MMRV2018,211,1402,0
598,sarah silverman,SarahKSilverman,12570099,14678,1
599,chelsea clinton,ChelseaClinton,2488256,12866,1
600,jason chaffetz,jasoninthehouse,491127,10407,1
601,steve king,SteveKingIA,115684,2680,1
602,john wisniewski,JohnWisniewski,15825,3034,1
603,virginia lottery,VirginiaLottery,13814,23367,0
604,kathleen connell,KathleenConnell,1023,7246,0
605,george turner,georgenturner,5726,9195,1
606,rose ferlita,RoseforMayor,155,563,0
607,jeff kottkamp,JeffKottkamp,3775,3373,0
608,portland community college,PortlandCCF,33,32,0
609,elise stefanik,EliseStefanik,30855,7336,1
610,kevin otoole,KevOToole70,348,1436,0
611,tom mcclintock,RepMcClintock,13810,454,1
612,lee fisher,fisher4justice,696,2094,0
613,juan chuy hinojosa,TxChuy,7159,4394,0
614,andy duyck,ChairAndyDuyck,233,197,0
615,john pistole,PresPistole,2395,816,0
616,phil gingrey,DrPhilGingrey,14528,1884,1
617,lenar whitney,LenarWhitney,2081,211,0
618,foodmentum,FoodMentum,722,4792,0
619,dave hunt,climberhunt,917,933,0
620,mary burke,crackerjaw,3658,9637,0
621,wes riddle,wesriddle,150,285,0
622,steven landes,Wesukechak,1,0,0
623,ben affleck,BenAffleck,2945333,425,1
624,suzanne bonamici,RepBonamici,27425,4429,1
625,bill oneill,CoachO02,177,321,0
626,jeff dewit,JeffDeWitAZ,5530,2021,0
627,tom tancredo,ttancredo,4273,2941,0
628,haley barbour,HaleyBarbour,33388,810,1
629,jeremy bird,jeremybird,36275,5567,1
630,joe straus,SpeakerStraus,24491,1420,0
631,meria carstarphen,CarstarphenMJ,21927,9055,0
632,larry ahern,Larry_Ahern,4355,1142,0
633,valerie jarrett,vj44,196174,6475,1
634,new approach oregon,NewApproachPAC,2806,2211,0
635,steve spinnett,steve_spinnett,15,2,0
636,jeff atwater,JeffAtwater,15603,3874,1
637,linda curtis,TDSBLindaCurtis,984,6207,0
638,paul workman,PaulCTV,3937,3508,1
639,jim carrey,JimCarrey,18353767,4471,1
640,michael morell,MichaelJMorell,50994,686,1
641,austan goolsbee,Austan_Goolsbee,81869,4755,0
642,jb van hollen,JBVanHollen,2450,758,0
643,sheila jackson lee,JacksonLeeTX18,72002,7269,1
644,sheri gallo,SheriGalloD10,1684,1254,0
645,nan orrock,SenNanOrrock,6392,6249,1
646,steve scalise,SteveScalise,301398,9489,1
647,van wanggaard,Vanwanggaard,2203,1250,0
648,nikki haley,NikkiHaley,411371,448,1
649,kyrsten sinema,SenatorSinema,94073,11732,1
650,michael mccaul,RepMcCaul,29906,3792,1
651,michelle malkin,michellemalkin,2162278,68687,1
652,rebecca bradley,RebeccaJBradley,6195,75155,0
653,david gregory,davidgregory,1733656,10616,1
654,debbie dooley,Crimsontider,13877,13996,0
655,paula dockery,Paula_Dockery,8085,142898,0
656,bret baier,BretBaier,1302359,71200,1
657,dustin inman society,DustinInmanSoc,97,212,0
658,don mcintire,Donmcintire4,0,0,0
659,ami bera,RepBera,32919,3574,1
660,trevor noah,Trevornoah,9787536,10758,1
661,great america pac,GreatAmericaPAC,8266,15254,1
662,jan jones,janjonesauthor,4061,95729,0
663,becky moeller,BeckyMoeller,185,1,0
664,emma watson,EmmaWatson,29147919,1709,1
665,anthony johnson,Anthony_Rumble,194345,6126,1
666,max nofziger,maxnofziger,29,2,0
667,holly benson,BADnewsbenson1,348,4383,0
668,jody conradt,hof98,108,22,0
669,tim griffin,TimGriffinBig12,2804,21607,1
670,roger goodell,nflcommish,534939,531,1
671,ralph peters,ralph_peters,151,4716,0
672,john elkhay,EllhayJohn,22,3,0
673,nina turner,ninaturner,183545,41795,1
674,john taylor,JohnLloydTaylor,274058,17561,1
675,michael reagan,ReaganWorld,76054,22573,0
676,jeff wentworth,JeffInTokyo,187,166,0
677,chris smith,SmithChris,2588,2601,1
678,american action network,AAN,8398,8580,1
679,marc morial,MARCMORIAL,36136,5651,1
680,bruce hanna,bdhogfan,284,5970,0
681,ron gerberry,RonGerberry,771,972,0
682,pierre thomas,Pierre_Thomas,266891,4853,1
683,don gaetz,DonGaetz,145,0,0
684,american future fund,AmFutureFund,31512,4824,0
685,gerard robinson,gerard_924,2084,4238,0
686,sam stein,samstein,408459,57020,1
687,barry smitherman,SmithermanTX,3876,1663,0
688,tom toles,TomTolesToons,7122,1615,0
689,raymond frank,RaymondFArevalo,124,683,0
690,bob duffy,BobDuffyROC,11595,23325,1
691,american energy alliance,AEA,6519,8445,1
692,jerry brown,JerryBrownGov,1107251,2237,1
693,billboard,billboard,7378161,215467,1
694,paul begala,PaulBegala,204432,45013,1
695,albio sires,RepSires,20905,3342,1
696,hans von spakovsky,HvonSpakovsky,5872,1747,0
697,joe heck,CoachJoeHeck,407,3577,0
698,charlotte bergmann,memphismayor,75,59,0
699,ron klein,OtherRonKlein,176,1084,0
700,sam houston,BearkatsBSB,12827,16000,1
701,bill spelman,SpelmanBill,0,0,0
702,gordon challstrom,gordchallstrom,8,50,0
703,sabino pio renteria,CM_Renteria,3324,1042,0
704,chris taylor,ChrisTaylorWI,6437,5432,1
705,nicholas kristof,NickKristof,2045477,39240,1
706,jennifer shilling,SenShilling,3748,4711,1
707,farouk shami,Farouk4Texas,177,134,0
708,marc thiessen,marcthiessen,37871,12985,1
709,jake tapper,jaketapper,2044946,191910,1
710,dick morris,DickMorrisTweet,202179,8814,1
711,leslie curran,ExpressFraming,66,86,0
712,jon huntsman,JonHuntsman,103247,541,1
713,betsy mccaughey,Betsy_McCaughey,8213,1130,0
714,dan boren,dgbjr,19,4,0
715,joyce beatty,RepBeatty,31417,8007,1
716,cleta winslow,cmwinslow04,186,3,0
717,bonnie reiss,bonniemreiss,212,16,0
718,gil kerlikowske,rgkerlik,31,0,0
719,sarah ponder,surahhpondaa,419,6028,0
720,senate leadership fund,Senate_Fund,1758,482,1
721,jeanine pirro,JudgeJeanine,1502367,16355,1
722,jd hayworth,JDHayworthAZ,754,0,0
723,peggy noonan,Peggynoonannyc,182399,8757,1
724,mary landrieu,MaryLandrieu,5147,2984,1
725,david miliband,DMiliband,266107,9704,1
726,mike dovilla,mikedovilla,7600,3969,0
727,hilary rosen,hilaryr,106006,15254,1
728,edward flynn,EdwardFlynn12,124,3232,0
729,ron fournier,ron_fournier,64366,170589,1
730,chris sununu,ChrisSununu,7923,1875,1
731,jason nassour,JasonNassour,245,109,0
732,josh earnest,joshearnest,50876,211,1
733,victoria seaman,VictoriaDseaman,5522,13836,0
734,kiki curls,KikiCurls,2241,497,0
735,jan crawford,JanCBS,19376,3262,1
736,nicholas mattiello,RISpeaker,2250,149,0
737,steve moore,stevemoore2600,3087,3288,0
738,eric greitens,EricGreitens,87185,3971,1
739,barbara sharief,BarbaraSharief,238,0,0
740,al gore,algore,3085691,2619,1
741,van taylor,VanTaylorTX,9449,5400,1
742,debra medina,debmedina,3098,1206,0
743,amy kremer,AmyKremer,31293,32382,1
744,bart stupak,RealBartStupak,143,63,0
745,bill pascrell,BillPascrell,38501,3899,1
746,sharon day,usambassadorcr,5834,2722,1
747,carlos trujillo,USAmbOAS,5619,191,1
748,mary squires,MaryTylerMorgue,222,3447,0
749,texas values,txvalues,4394,7092,0
750,mike adams,Channel75live,30320,1725,1
751,jim keffer,RepJimKeffer,1858,2879,0
752,scott bruun,JoinScott,469,196,0
753,bob buckhorn,BobBuckhorn,52696,11890,1
754,jim francesconi,JimFrancesconi,75,91,0
755,ryan lizza,RyanLizza,232258,17269,1
756,karen harrington,KA_Harrington,2021,6959,0
757,jorge ramos,jorgeramosnews,3491479,25346,1
758,steve adler,Steve_Adler,5760,53016,0
759,tom kean jr,TomKeanJr,0,0,0
760,marilinda garcia,MarilindaGarcia,4261,3139,0
761,einer elhauge,elhauge,993,396,0
762,eddie rodriguez,EddieforTexas,10857,4555,1
763,kathie tovo,kathietovo,3963,336,0
764,cathie adams,cathieadams,3583,2350,0
765,buzzfeed,BuzzFeed,6536089,223250,1
766,megyn kelly,megynkelly,2403160,14155,1
767,doris kearns goodwin,DorisKGoodwin,86938,312,1
768,william barber,kidwilly23,355,5061,0
769,texas public policy foundation,TPPF,18398,12241,0
770,uber,Uber,989667,15709,1
771,renee ellmers,RepReneeEllmers,17010,7137,1
772,lynn westmoreland,Westmoreland_GA,14148,4275,0
773,lesley cohen,Cohen4AD29,1939,10002,0
774,randi weingarten,rweingarten,89369,125591,1
775,hemant mehta,hemantmehta,67915,57116,1
776,kevin levitas,kevin_levitasTG,0,0,0
777,jim mcgreevey,jim_mcgreevey,693,965,0
778,maciver institute,MacIverWisc,8801,37010,0
779,paige kreegel,ElectKreegel,158,120,0
780,mark zaccaria,Mark_Zaccaria,306,1855,0
781,dan flynn,DanFlynn,25377,12835,1
782,anne nolan,AnneNolan2,1613,13627,0
783,john huppenthal,HuppenthalADE,834,814,0
784,meg whitman,MegWhitman,212632,828,1
785,jonathan jarvis,JonathanJarvis,1909,597,0
786,jeff fitzgerald,cheffitzgerald,227,782,0
787,dubose porter,porterforga,800,476,0
788,dick armey,DickArmey,8310,93,0
789,phil robertson,Reaproy,28764,18567,1
790,geraldine thompson,defines1,29,1252,0
791,loretta sanchez,LorettaSanchez,18296,2850,1
792,steve ogden,SteveOgdenArt,2167,14684,0
793,leah vukmir,LeahVukmir,12712,7630,1
794,robert barber,RA_Barber,2034,8088,0
795,bill bennett,WilliamJBennett,46791,3952,0
796,steve southerland,Rep_Southerland,7929,672,1
797,bruce rauner,BruceRaunerHQ,3816,403,1
798,john thrasher,jthrasher,6961,64009,1
799,violence policy center,VPCinfo,8165,8713,1
800,danny tarkanian,DannyTarkanian,11994,5523,1
801,dave aronberg,aronberg,6038,4667,1
802,pat carlson,PatCarlsonMinis,545,1647,0
803,ellen troxclair,EllenforAustin,3698,509,0
804,bryce reeves,ReevesVA,4060,2575,1
805,caroline casagrande,CCCasagrande1,2544,1077,0
806,jim waldman,jimwaldman,564,121,0
807,jodie laubenberg,LaubenbergTX,272,0,0
808,jason conger,JasonConger,1989,1195,0
809,bill kristol,BillKristol,473690,23137,1
810,diana degette,DeGette5280,1643,418,1
811,mike dudgeon,mjdudgeon,1114,189,0
812,rob wittman,ReElectWittman,1079,693,1
813,jon husted,JonHusted,12677,6026,1
814,will wynn,mycarheaven,2047,23138,0
815,rick kriseman,Kriseman,17145,13790,0
816,mark kelly,ShuttleCDRKelly,276667,2105,1
817,jd van brink,JDVanBrink,111,0,0
818,atlanta braves,Braves,1264428,54349,1
819,rhue reis,ReisforCongress,100,242,0
820,arthenia joyner,JoynerforSenate,376,0,0
821,chris mccalla,HeyMrMcCalla,363,1822,0
822,dave marsden,SenDaveMarsden,3624,994,0
823,diane black,RepDianeBlack,30408,5931,1
824,christopher monckton,chris_monckton,535,5,0
825,frank wolf,RepWOLFPress,4907,350,1
826,louis marinelli,LouisJMarinelli,2229,33,1
827,defending main street,DefendMainSt,27,34,0
828,david rivera,RepRivera,3230,706,1
829,renee unterman,Renee_Unterman,3866,7182,0
830,kevin flynn,FlynnCNBC,1630,1119,1
831,sally bethea,sbethea063,11,62,0
832,planned parenthood,PPFA,263515,10903,1
833,stefani carter,stefani_carter,2231,992,0
834,gene mcintyre,genem3,184,1155,0
835,lone star project,lsptex,3980,6395,0
836,peter beinart,PeterBeinart,83722,28359,1
837,jefferson smith,jeffersonsmithp,584,1054,0
838,lee holloway,icqheretic,220,3,0
839,eric gray,TheEricGray,1485,6567,0
840,terry russell,TerryRussellLtd,385,2391,0
841,james buchal,JamesBuchal,316,1490,0
842,hugh thompson,thommosays,453,4235,0
843,ray lewis,raylewis,368215,6225,1
844,rose mary grant,Grant7Rose,3,1,0
845,julie lassa,JulieMLassa,2490,1080,0
846,adam schefter,AdamSchefter,7371773,44774,1
847,jack hanna,JungleJackHanna,44099,1884,1
848,sierra club,SierraClub,348177,118874,1
849,kay hagan,kayhagan,7923,1423,1
850,kirsten gillibrand,SenGillibrand,1410883,18160,1
851,tom mechler,tommechler,3028,3307,1
852,maria sachs,MariaSachs,3318,1130,1
853,william benson huber,NYCWBH,10045,3757,0
854,mark obenshain,MarkObenshain,5879,3942,1
855,wayne christian,ChristianForTX,2642,4290,0
856,chris stirewalt,ChrisStirewalt,90370,10719,1
857,james stegmaier,jpstegmaier,57,447,0
858,burnt orange report,BOR,9829,11299,0
859,claire suggs,ClaireVSuggs,404,1369,0
860,john fleming,RepFleming,12695,1638,1
861,rosemary lehmberg,RoseLehmberg,1,0,0
862,stephen nodine,NodineTweets,205,445,0
863,kevin mccarthy,GOPLeader,277576,10242,1
864,michelle nunn,MichelleNunn,10749,1860,1
865,corrine brown,CorrineBrownCon,141,106,0
866,peter pantuso,PantusoPeter,161,261,0
867,carol morgan,AtlantaPR,7625,17277,0
868,debbie mayfield,debbie_mayfield,4726,4731,0
869,chris bowers,chrisbowers,472,8725,0
870,colleen kiernan,ckiernanATL,243,220,0
871,mickie williams,sup_steez,97,35,0
872,progress florida,ProgressFlorida,12735,29815,0
873,msnbc,MSNBC,2435543,164941,1
874,matt caldwell,mattcaldwell_fl,6627,9831,1
875,david barton,DavidBartonWB,30611,3678,0
876,scott maddox,duffmc2001,139,1893,0
877,steve goreham,stevegoreham,247,59,0
878,ronnie earle,stay_numb_,60,275,0
879,bryan hughes,bryanweather,2685,17230,1
880,penny pritzker,PennyPritzker,3220,240,1
881,jim moore,cougsgo,15865,14837,0
882,lorraine fende,FendeLorraine,16,9,0
883,kai degner,kaidegner,2109,115,0
884,seaworld,SeaWorld,142796,29660,1
885,myra crownover,MyraCrownover,3172,291,0
886,steve israel,RepSteveIsrael,31330,5375,1
887,washington examiner,dcexaminer,159409,403899,1
888,tarina keene,ProtectChoice,684,3175,0
889,todd richardson,Rep_TRichardson,5935,1933,0
890,pete hegseth,PeteHegseth,188694,9530,1
891,rodney ellis,RodneyEllis,13403,12158,0
892,steve wise,notamagi,562,2308,0
893,marina dimitrijevic,supervisormd,1480,2331,0
894,scott keyes,smkeyes,6971,14023,1
895,deval patrick,DevalPatrick,39835,1704,1
896,steve loomis,48Stevie,0,0,0
897,james woods,RealJamesWoods,2125054,28523,1
898,tom steyer,TomSteyer,227428,7187,1
899,vance smith,vanceasmith,701,961,0
900,joe wilkinson,gillinghamjoe,350218,3191,1
901,michele walsh,Brez70,97,406,0
902,jim mcdermott,RepJimMcDermott,14909,1887,1
903,zoe lofgren,ZoeLofgren,501,142,1
904,david caton,DAVECATON01,1558,4528,0
905,morten jerven,MJerven,4823,3666,0
906,scott peters,ScottPetersSD,11218,5322,1
907,john klenke,9773powerstroke,1,1,0
908,janice hahn,SupJaniceHahn,15399,6099,1
909,jennifer parrish,JenParrish777,752,3450,0
910,ralph reed,ralphreed,13134,6396,1
911,anthony weiner,CarlosDWeiner,116,132,0
912,sandra stotsky,sgstotsky,761,7755,0
913,mike prendergast,MPrendergastTX,3691,12746,0
914,jim gilmore,gov_gilmore,5336,2771,1
915,maria bartiromo,MariaBartiromo,476307,27037,1
916,big gamble nj,BigGambleNJ,50,68,0
917,teresa ghilarducci,tghilarducci,3874,1413,0
918,jack roberts,By_JackRoberts,8272,14787,0
919,josh trevino,Parallelfilmss,403,5281,0
920,ilyse hogue,ilyseh,41968,25033,1
921,tucker carlson,TuckerCarlson,2626816,3956,1
922,tim sheehy,TimSheehy,582,8290,0
923,andy craig,nland360,2158,6705,0
924,jose rodriguez,Josseroodriguez,366945,4983,1
925,wesley clark,WesClark,1615,2568,0
926,chris riley,Chris_Riley2,10179,7995,1
927,doreen costa,DoreenCostaRI,1086,1528,0
928,duriya farooqui,DuriyaFarooqui,1669,1789,0
929,kimberly guilfoyle,kimguilfoyle,1507015,6306,1
930,american petroleum institute,APIenergy,69032,37405,1
931,hank gilbert,Hank4Texas,1107,766,0
932,dana milbank,Milbank,113595,4201,1
933,todd tiahrt,reptoddtiahrt,161,414,0
934,ryan frazier,RyanLFrazier,2547,1812,0
935,charlie sykes,SykesCharlie,154939,89412,1
936,robert kraig,RKraig1912,911,2185,0
937,gary lambert,GaryLambertNH,1685,5221,0
938,pink pony,showbars,5572,2935,0
939,chris dudley,ChrisUnderoath,16560,13317,1
940,jimmy barrett,jameshbarrett,531,1483,0
941,tom craddick,craddick_tom,20,345,0
942,gail collins,gailcollins,62949,659,1
943,david segal,SegalforRI,391,272,0
