,speaker,twitter_handle
0,dwayne bohac,dwayne_bohac
1,scott surovell,ssurovell
2,barack obama,BarackObama
3,blog posting,
4,charlie crist,CharlieCrist
5,robin vos,
6,republican party texas,
7,oregon lottery,oregon_lottery
8,duey stroebel,SenStroebel
9,robert menendez,SenatorMenendez ‏
10,bernie s,SenSanders
11,mitt romney,MittRomney
12,doonesbury,DoonesburyComic
13,george will,GeorgeWillRSS
14,national republican congressional committee,
15,gwen moore,RepGwenMoore ‏
16,jack lew,repjohnlewis ‏
17,dennis richardson,
18,eric bolling,ericbolling
19,hillary clinton,HillaryClinton
20,greater wisconsin political fund,
21,planned parenthood action fund,
22,nancy pelosi,SpeakerPelosi
23,ted nugent,TedNugent
24,pamela geller,PamelaGeller
25,peter kinder,PeterKinder
26,nicholas kettle,nickkettle21
27,shelley moore capito,SenCapito
28,rick scott,SenRickScott
29,tom cotton,SenTomCotton
30,ted cruz,tedcruz
31,lee leffingwell,TheRealLeeVIP
32,north korea,
33,walking dead,
34,kelly ayotte,KellyAyotte
35,marco rubio,marcorubio
36,keep promise 1 pac,
37,rachel maddow,maddow
38,jerry patterson,Patterson4TX
39,chain email,
40,john boehner,SpeakerBoehner
41,katrina pierson,KatrinaPierson
42,rick perry,GovernorPerry
43,national republican senatorial committee,
44,ken cuccinelli,KenCuccinelli
45,andrew cuomo,NYGovCuomo
46,sid miller,MillerForTexas
47,jim barksdale,jimbarksdale
48,david raynor,crddraynor
49,donald trump,realDonaldTrump
50,john mccain,SenJohnMcCain
51,battleground texas,
52,michelle obama,MichelleObama
53,rudy giuliani,RudyGiuliani
54,john barrasso,barrassoforwyo ‏
55,empower texans,EmpowerTexans
56,john depetro,JohnDePetroshow
57,garnet coleman,GFColeman
58,michael opitz,MichaelOpitz
59,terry mcauliffe,TerryMcAuliffe
60,alfredo gutierrez,AlfredoPhxAZ
61,david cote,DavidCote
62,elena kagan,KaganScotus
63,texas veterans commission,TexasVeterans
64,republican party florida,
65,maurice ferre,
66,jeanne shaheen,JeanneShaheen
67,susan happ,Happ4WI
68,sameh shoukry,
69,karl rove,KarlRove
70,gwen graham,GwenGraham
71,bill white,whitebil
72,bob goodlatte,RepGoodlatte
73,cory booker,CoryBooker
74,joe biden,JoeBiden
75,jim skaggs,SPANKYSPL
76,ralph hudgens,ralphhudgens
77,florida democratic party,
78,robert sarvis,RobertSarvisVA
79,will weatherford,willweatherford
80,mark shields,Mark__Shields
81,national association realtors,
82,brady campaign prevent gun violence,
83,federal transit administration,
84,alison lundergan grimes,
85,mitch mcconnell,senatemajldr ‏
86,frank caprio,fcaprio2
87,david scott,repdavidscott
88,scott walker,ScottWalker
89,ron johnson,SenRonJohnson ‏
90,donna brazile,donnabrazile
91,paul ryan,SpeakerRyan
92,adam hasner,AdamHasner
93,mark pocan,repmarkpocan ‏
94,kathleen sebelius,Sebelius
95,bruce elfant,BElfant01
96,dave yost,Yost4Ohio
97,alex sink,
98,government not god pac,
99,joe scarborough,JoeNBC
100,texas house democratic caucus,TexasHDC
101,david jolly,DavidJollyFL
102,jon keyser,Jon_Keyser
103,oregon right life pac,
104,sean hannity,seanhannity
105,rush limbaugh,rushlimbaugh
106,john robitaille,John_Robitaille
107,patricia morgan,repmorgan ‏
108,dave brat,DaveBratVA7th
109,mark warner,MarkWarner
110,rob portman,robportman
111,john cornyn,JohnCornyn ‏
112,louie gohmert,replouiegohmert
113,democratic congressional campaign committee,
114,texas right life,
115,armond budish,ArmondBudish
116,jeff kruse,JeffKruse303
117,mike haridopolos,MikeHaridopolos
118,kendrick meek,KendrickMeek
119,americans united change,
120,paul skip stam,
121,eric cantor,EricCantor
122,robert puente,
123,ron paul,RonPaul
124,nancy pfotenhauer,NPfotenhauer
125,gary johnson,
126,stephen sweeney,StephenSweens10
127,sheldon whitehouse,SenWhitehouse
128,pat quinn,PQuinnfortheWin
129,matthew dowd,matthewjdowd
130,one new jersey,
131,darrell issa,DarrellIssa
132,robert gibbs,
133,michael williams,
134,alan grayson,
135,chris christie,ChrisChristie
136,robert jacquard,RobertJacquard
137,americas health insurance plans,
138,dream defenders,Dreamdefenders
139,greg abbott,GregAbbott_TX
140,david cicilline,davidcicilline
141,wendy davis,wendydavis
142,marcy kaptur,RepMarcyKaptur
143,americans tax reform,
144,tweets,
145,tamara holder,tamaraholder
146,hank johnson,
147,facebook posts,
148,mike murphy,mcwm
149,vincent barrella,
150,lamar smith,LamarSmithTX21
151,bill johnson,RepBillJohnson
152,eric hovde,EricHovde
153,john skvarla,JohnSkvarla
154,daniel mielke,DanielDMielke
155,ben carson,SecretaryCarson
156,blue oregon,
157,raymond bateman,RaymondBatema10
158,mark neumann,MarkNeumannnn
159,sarah palin,SarahPalinUSA
160,rana foroohar,RanaForoohar
161,tom niehaus,CasaDiPace
162,sherrod brown,SenSherrodBrown
163,nextgen climate,
164,john kasich,JohnKasich
165,ileana ros lehtinen,
166,chris moews,
167,robby mook,RobbyMook
168,carolyn maloney,
169,lindsey graham,LindseyGrahamSC
170,mark strama,markstrama
171,patrick leahy,
172,fix austin schools,FixAustinSchool
173,democratic senatorial campaign committee,
174,agenda project,
175,steven teske,scteskelaw
176,rand paul,
177,kesha rogers,KeshaRogersTX
178,james bennett,James_L_Bennett
179,tom hughes,
180,jeff merkley,JeffMerkley
181,sheila oliver,
182,judd gregg,
183,dick cheney,KenadiTaylor
184,michael moore,MMFlint
185,bill richardson,WBRichardson
186,paul sarlo,PaulASarlo
187,connie mack,ConnieMackIV
188,allen west,AllenWest
189,evan feinberg,evanfeinberg
190,moveon,MoveOn
191,lou dobbs,LouDobbs
192,edith ajello,
193,doug thomas,
194,steve latourette,
195,trent franks,TrentFranksNews
196,kim guadagno,KimGuadagnoNJ
197,ted strickland,Ted_Strickland
198,thomas brown,
199,us chamber commerce,
200,scott brown,
201,julian castro,
202,christine sinicki,sinicki328
203,michele bachmann,MicheleBachmann
204,dan patrick,DanPatrick
205,jeb bush,JebBush
206,florida chamber commerce,
207,rachel campos duffy,
208,newt gingrich,newtgingrich
209,tom barrett,Barrett4MKE
210,roy blunt,
211,chris thomas,ctkmusic
212,barney simms,
213,andrew napolitano,
214,joyce kaufman,joyceonair
215,christopher plante,Chris91UconnBoY
216,gerry connolly,GerryConnolly
217,dave weldon,Davweldon
218,john garamendi,RepGaramendi
219,donna edwards,
220,peter kilmartin,PeterFKilmartin
221,roger williams,
222,david dewhurst,DavidHDewhurst
223,joshua feuerstein,TheEvangel1st
224,bill belichick,BelichickFDN
225,associated press,
226,josh mandel,JoshMandelOhio
227,nathan deal,
228,bill clinton,BillClinton
229,chip rogers,chiprogers
230,julius jones,
231,mike huckabee,
232,national association manufacturers,
233,chris hayes,chrislhayes
234,progress texas,ProgressTX
235,dinesh dsouza,
236,bill foster,RepBillFoster
237,ken legler,KenLegler
238,milwaukee police association,
239,clackamas county commission,
240,scott henson,
241,bob mcdonnell,BobMcDonnell
242,don francis,
243,dwight jones,DwightJones21
244,organizing america,
245,rick santorum,RickSantorum
246,chris wallace,ChrisWallace101
247,save americas postal service,
248,lloyd doggett,RepLloydDoggett
249,rob cornilles,
250,frank guinta,
251,cory mason,MayorCoryMason
252,dan kaufman,dankaufman70
253,larry elder,larryelder
254,dale kooyenga,DaleKooyenga
255,dan gelber,MayorDanGelber
256,new hampshire democratic party,
257,mary nolan,marybnolan
258,jim steineke,
259,michelle rhee,MichelleRhee
260,joe gibbons,JoeGibbonsEEA
261,steve rothman,steve02476
262,mary margaret oliver,mmo_mary
263,drug free america,
264,chuck grassley,
265,ted wheeler,
266,herb garrett,cook_n_good
267,vincent buddy cianci,
268,direct action rights equality,
269,peter shumlin,GovPeterShumlin
270,national organization marriage,
271,jon stewart,
272,americans prosperity,
273,karen handel,karenhandel
274,adam kinzinger,RepKinzinger
275,donna howard,DonnaHowardTX
276,GaGOP,
277,bob graham,
278,john bradley,johnbradleywest
279,glenn grothman,GrothmanforWI
280,we are ohio,We_Are_Ohio
281,arianna huffington,ariannahuff
282,joe lieberman,JoeLieberman
283,jon erpenbach,JonErpenbach
284,john kerry,JohnKerry
285,lou greenwald,
286,kathleen vinehout,VinehoutK
287,michael burgess,michaelcburgess
288,republican governors association,
289,ralph nader,RalphNader
290,leticia van de putte,leticiavdp
291,craig melvin,craigmelvin
292,john plumb,JohnFPlumb
293,judicial watch,JudicialWatch
294,tom price,pricetom
295,sondy pope,RepSondy
296,carlos curbelo,carloslcurbelo
297,democratic congressional leadership,
298,claudia tenney,claudiatenney
299,no 60 campaign against condom requirement adult fi,
300,loretta weinberg,SenatorLorettaW
301,todd hunter,toddahunter
302,tim knopp,SenatorKnopp
303,sandy adams,pastor_sandy
304,brett hulsey,hulsey07
305,james clyburn,
306,reince priebus,Reince
307,victoria taft,VictoriaTaft
308,rahm emanuel,RahmEmanuel
309,frank annunziato,cheech870000
310,michael steele,MichaelSteele
311,claire mccaskill,clairecmc
312,joseph crowley,
313,60 plus association,60PlusAssoc
314,chris abele,ChrisAbeleMKE
315,kenneth block,
316,michael doherty,profmdoherty
317,ellen rosenblum,ORDOJ
318,john kline,repjohnkline
319,american crossroads,AmericanXRoads
320,tim kaine,timkaine
321,debbie wasserman schultz,DWStweets
322,tom daschle,
323,jeff morales,jeffmorales
324,virginia education association,VEA4Kids
325,causa oregon,
326,terry jeffrey,
327,jimmy carter,CarterLibrary
328,jeff dickerson,DickersonESPN
329,oregon 2014,
330,thomas tobin,
331,bobby jindal,
332,chris jacobs,ChrisJacobs
333,phil kerpen,kerpen
334,joanne kloppenburg,joanne8553
335,paul krugman,paulkrugman
336,mike pence,mike_pence
337,bookerfail,
338,kay bailey hutchison,kaybaileyhutch
339,democratic national committee,
340,mike foley,
341,americans job security,
342,rob zerban,robzerban
343,jackie cilley,jackielcilley
344,arsalan iftikhar,TheMuslimGuy
345,marc schare,marcschare
346,sandra williams,
347,john kitzhaber,GovKitz
348,katie mcginty,kate_mcginty
349,adam putnam,adamputnam
350,virginia foxx,virginiafoxx
351,clay pell,ClayPell
352,ginny brown waite,
353,bill proctor,billproctor314
354,kevin dewine,KevinDeWine
355,naral pro choice,
356,john pagliarini,
357,erik wallin,dr_blackheart
358,kasim reed,KasimReed
359,diego arene morley,
360,richard codey,
361,alberta darling,SenDarling
362,cory gardner,SenCoryGardner
363,delia garza,
364,priorities usa action,Mills_Gro6
365,ed gillespie,EdWGillespie
366,tommy thompson,tomthom11
367,mike lee,SenMikeLee
368,david axelrod,davidaxelrod
369,paul broun,PaulBrounMD
370,national rifle association,
371,martin omalley,
372,matthew hill,matthewhillbbc
373,american leadhership pac,
374,lisa boothe,LisaMarieBoothe
375,daniel grace,
376,jeff greene,JeffGreeneUNC
377,jamie radtke,jamieradtke
378,sylvester turner,SylvesterTurner
379,chris redfern,ChrisRedfern419
380,harris faulkner,
381,charles schumer,
382,kathleen falk,FalkforWI
383,steve lonegan,Lonegan
384,next generation climate action committee,
385,corey lewandowski,
386,bobby scott,
387,anissa naouai,AnissaNow
388,sean duffy,RepSeanDuffy
389,matthew charles cardinale,
390,angel taveras,Angel_Taveras
391,mike rogers,RepMikeRogersAL
392,chris hani baragwanath hospital,
393,bill nelson,NelsonForSenate
394,lincoln chafee,LincolnChafee
395,kathleen clyde,KathleenClyde
396,richard ferruccio,Dick_Nixon5813
397,terry lawler,tlawler
398,ray mcberry,RayMcBerry
399,centre research globalization,
400,gene sperling,genebsperling
401,cokie roberts,CokieRoberts
402,barbara boxer,BarbaraBoxer
403,republican national committee republican,
404,randy forbes,Randy_Forbes
405,club growth,
406,joaquin castro,JoaquinCastrotx
407,joe manchin,
408,markos moulitsas,markos
409,fulton county health and wellness,
410,brigid shea,CommishShea
411,carly fiorina,CarlyFiorina
412,ken allen,K_Factionrec
413,neera tanden,neeratanden
414,chuck todd,chucktodd
415,arthur cyr,
416,elaine boyer,
417,betty sutton,BettySutton
418,keith olbermann,KeithOlbermann
419,jason isaac,
420,jennette gayer,JennetteGayer
421,bill hammond,NYHammond
422,health care america now,
423,miscellany blue,
424,jim renacci,JimRenacci
425,committee our childrens future,
426,tobias read,TobiasRead
427,rush holt,
428,rob turner,ReynardCity
429,christina romer,ChrisRomer91
430,wisconsin medical society,
431,mike dewine,MikeDeWine
432,roy cooper,RoyCooperNC
433,friends voter owned elections,
434,monica wehby,
435,americans united life,
436,rod monroe,SenatorMonroe
437,ed fitzgerald,
438,joel keehn,jkeehn
439,jack kingston,JackKingston
440,miriam martinez,miriam__lisset
441,mark johnson,
442,dan micciche,DanforDISD
443,wisconsin jobs now,
444,wayne thorburn,waynethorburn
445,todd staples,
446,tom coburn,
447,barbara buono,
448,rich zipperer,zipperer_rich
449,family forward oregon,
450,mark miller,RetireRevised
451,george lemieux,George_LeMieux
452,viral image,
453,social media,socialmediaweek
454,kevin de leon,
455,susana martinez,Gov_Martinez
456,henry cuellar,
457,deborah ross,DeborahRossNC
458,glenford shibley,
459,joseph kyrillos,Jmansourk
460,americans prosperity florida,
461,ohio department transportation,
462,barry hinckley,BarryHinckley
463,joe barton,RepJoeBarton
464,jon kyl,
465,americans responsible solutions,
466,peter palumbo,PetiePal
467,bettylou decroce,BLDeCroce4NJ
468,roy barnes,
469,carla smith,JLA_President
470,winning our future,WinOurFuture
471,pat mccrory,PatMcCroryNC
472,don zimmerman,
473,michael savage,ASavageNation
474,betsy miller jones,
475,marvin pratt,MarvinPratt22
476,dean wright,
477,sharron angle,SharronAngle
478,david simas,d_simas
479,patrick murphy,PatrickMurphyFL
480,reader email,
481,sean spicer,seanspicer
482,helen glover,Helenglovergb
483,lee camp,LeeCamp
484,citizens united political victory fund,cupvf
485,fred thompson,fredthompson
486,david clarke jr,
487,greg gutfeld,
488,lainey melnick,lmelnick
489,caleb rowden,calebrowden
490,oregon center public policy,
491,republican party virginia,
492,brian kemp,BrianKempGA
493,diane allen,
494,leonidas raptakis,senraptakis
495,howard dean,GovHowardDean
496,lou ann zelenik,louannzelenik
497,environment new jersey,
498,marty beil,johnnystubble
499,ohio democratic party,
500,joe sestak,JoeSestak
501,national right life committee,
502,funny or die,funnyordie
503,coalition fair budget priorities,
504,american bridge 21st century,
505,susan stimpson,SusanBStimpson
506,michael riley,
507,pat toomey,
508,nickie antonio,
509,desmond meade,desmondmeade
510,ward armstrong,
511,back basics,
512,terri lynn land,LandforGovernor
513,democratic party virginia,
514,blake rocap,BlakeRocap
515,tim canova,Tim_Canova
516,michael reese,
517,campaign regulate marijuana alcohol,
518,kamala harris,KamalaHarris
519,david shuster,DavidShuster
520,john oliver,iamjohnoliver
521,julia hurley,
522,ellyn bogdanoff,ellynbogdanoff
523,republican state senators,
524,earl blumenauer,repblumenauer
525,ted poe,JudgeTedPoe
526,senior citizens league,
527,our daughters ri,
528,bill maher,billmaher
529,laurence ehrhardt,Lauehr
530,dana rohrabacher,DanaRohrabacher
531,jim demint,JimDeMint
532,texas automobile dealers association,
533,national education association,
534,john lewis,repjohnlewis
535,gina raimondo,GovRaimondo
536,virginia house democratic caucus,
537,kitty boitnott,kittyboitnott
538,deadspin,Deadspin
539,nancy devaney,Dev04
540,herman cain,THEHermanCain
541,chet edwards,ChetEdwards
542,glenn beck,glennbeck
543,keep conservatives united,
544,glenn hegar,Glenn_Hegar
545,jon runyan,RepJonRunyan
546,kelli ward,
547,senate conservatives fund,
548,kelda helen roys,
549,addicting information,
550,dennis algiere,
551,david perdue,sendavidperdue
552,ted gatsas,Gatsas4Mayor
553,charlotte nash,charlotte_nash8
554,john carter,
555,georgia family council,
556,ron wyden,RonWyden
557,michael turner,
558,chuck hagel,
559,steve archambault,Arch_Steve
560,miami seaport alliance,
561,peter king,
562,john currie,
563,state democratic party wisconsin,
564,lone star first,
565,tom scott,tomscott
566,tim pawlenty,TimPawlenty
567,united florida horsemen,
568,upendra chivukula,
569,carol hunstein,
570,marcia fudge,
571,coalition stop gun violence,
572,rachel oconnor,Rachinthetron
573,steve cohen,RepCohen
574,jim jordan,
575,lon burnam,LonBurnam
576,shirley franklin,
577,george voinovich,
578,georgians together,
579,recoverygov,
580,wisconsin state afl cio,
581,marsha blackburn,VoteMarsha
582,sally kohn,sallykohn
583,grover norquist,GroverNorquist
584,mitch daniels,purduemitch
585,oregon healthy kids,
586,al sharpton,
587,david porter,davidnporter80
588,kathleen murphy,kmurphyva
589,patriot majority usa,
590,rafael cruz,
591,dekalb county,ItsInDeKalb
592,steve oelrich,SteveOelrich
593,national taxpayers union,NTU
594,michael roberson,RobersonForNV
595,ann mclane kuster,RepAnnieKuster
596,americans prosperity georgia chapter,
597,mr conservative,
598,spike romney attack dog,
599,mark hass,MarkHassOregon
600,jim sensenbrenner,
601,robin wright,RealRobinWright
602,david ignatius,IgnatiusPost
603,charlie smith,
604,freedom partners action fund,
605,andrea tantaros,AndreaTantaros
606,aclu north carolina,
607,georgia restaurant association georgia,
608,randi shade,randi61604000
609,restore our future,
610,juan williams,TheJuanWilliams
611,jim webb,JimWebbUSA
612,tom graves,RepTomGraves
613,john bolton superpac,
614,russ feingold,russfeingold
615,joe garcia,JoeGarcia
616,john obannon,CaptainObywan
617,john lehman,
618,ann coulter,AnnCoulter
619,jason stanford,jstannymlber61
620,restoration pac,
621,ritch workman,
622,duncan hunter 2,
623,heather mcghee,
624,mark schlereth,markschlereth
625,ann kirkpatrick,Ann_Kirkpatrick
626,texas medical association,
627,dana loesch,DLoesch
628,ron stephens,
629,matt lauer,
630,lena taylor,
631,obamas heckler,
632,john king,JohnKingCNN
633,ohio right life,
634,carlos beruff,carlosberuff
635,tom letson,Tom_Letson_LPC
636,concerned veterans america,
637,keith faber,KeithFaber
638,johnny isakson,SenatorIsakson
639,john tassoni jr,
640,steve poizner,StevePoizner
641,joe defelice,JoeDeFeliceHUD
642,bill batchelder,
643,ed fallone,EdFallone
644,rhode island aclu,
645,harry houck,
646,afscme,AFSCME
647,harry alford,HarryAlford3
648,progressohio,ProgressOhio
649,rich golick,SpaceLogger
650,new jersey republican state committee,
651,kathleen peters,KathleenMPeters
652,friends clearwater pac,
653,kirk cox,SpeakerCox
654,ultraviolet,UltraViolet
655,drug policy alliance,DrugPolicyOrg
656,brian sims,BrianSimsPA
657,paul howard,
658,jim whelan,BoardwalkHall
659,sam adams,
660,michael eric dyson,MichaelEDyson
661,oregon republican party,
662,bloomberg bloombergcom,
663,bill oreilly,
664,jack berry,
665,new jersey democratic state committee,
666,charles rangel,cbrangel
667,chris matthews,HardballChris
668,linda koop,LindaKoopTX
669,greg walden,
670,amy handlin,
671,austin water utility,
672,terry moulton,terrymoulton
673,john loud,loud_john
674,allan fung,
675,maggie hassan,
676,john edwards,JEdwardsRacing
677,one wisconsin now,onewisconsinnow
678,jerry jones,
679,dick black,
680,turning point usa,TPUSA
681,harry reid,
682,marion hammer,MarionHammer1
683,cascade policy institute,
684,brianna keilar,brikeilarcnn
685,shelley adler,Shelley_Adler
686,stephen colbert,StephenAtHome
687,louise slaughter,louiseslaughter
688,wayne powell,Powellsenateva
689,howard fineman,howardfineman
690,alan simpson,AlanSimpsonNI
691,florida all,
692,george allen,
693,john mica,
694,senate majority pac,MajorityPAC
695,georgia voice,
696,laura ingraham,IngrahamAngle
697,tim ryan,TimRyan
698,glen sturtevant,GlenSturtevant
699,john lombardi,John3lombardi
700,chris murphy,ChrisMurphyCT
701,bruce braley,BruceBraley
702,orly taitz,
703,chris coons,
704,associated industries florida,
705,safety all initiative,
706,curtis martin,curtismartin
707,gus bilirakis,RepGusBilirakis
708,wisconsin professional police association,
709,menominee indian tribe wisconsin,
710,nita lowey,NitaLowey
711,catherine hanaway,639802
712,joellen smith,MsJoEllenSmith
713,elizabeth warren,SenWarren
714,ben cardin,BenCardinforMD
715,charlie justice,
716,vicki martin,MarineSciComm
717,evan bayh,SenEvanBayh
718,jim moran,Jim_Moran
719,ron saunders,
720,bill weimer,Bill_Ymr
721,ron davis,
722,peter defazio,
723,fred risser,
724,fred karger,fredkarger
725,kurt schrader,
726,bill lynch,CoachLynchDPU
727,tom marino,tommarino606
728,scott hassett,Easyscott
729,roberta lange,rlange9
730,america,americaband
731,kelly odonnell,
732,karen bass,
733,peter barca,PeterWBarca
734,reid ribble,RepRibble
735,cheryl grossman,cherylrsg
736,michael mc auliff,
737,carol shea porter,
738,mark udall,MarkUdall
739,se cupp,
740,daily caller,
741,saxby chambliss,SaxbyChambliss
742,cornell william brooks,
743,doug whitsett,dwitness
744,lawrence odonnell,
745,vote no 8,
746,loren collins,LorenCollins
747,paul hirschbiel,phirschbiel
748,gilberto hinojosa,HinojosaTX
749,dennis kucinich,Dennis_Kucinich
750,colleen deacon,colleendeacon
751,drudge report,DRUDGE_REPORT
752,stephanie cutter,stefcutter
753,jessica king,jessCNN
754,tim james,
755,mike fasano,fasanomike
756,freedom defense advocates,
757,tim cook,tim_cook
758,phil king,
759,andy brown,AndyBrownMusic
760,al hunt,
761,david dooley,david__dooley
762,david brooks,nytdavidbrooks
763,alex wan,AlexWanforATL
764,mark daniels,
765,steve stockman,Stoxo
766,nan rich,senatornanrich
767,william perry,
768,donna campbell,DonnaCampbellTX
769,stephen zappala,zappala2
770,clayton county government,
771,tennessee democratic party,
772,tom cole,
773,christopher blazejewski,
774,brit hume,brithume
775,kyleen wright,kyleenwright
776,tammy baldwin,tammybaldwin
777,boyd richie,
778,nowthis,nowthisnews
779,ed garvey,
780,sergey lavrov,
781,mike martinez,
782,joe pojman,joepojman
783,bill haslam,BillHaslam
784,sandra cunningham,
785,robert dimuccio,robertdimuccioo
786,trimet,trimetalerts
787,josh shapiro,JoshShapiroPA
788,building better ohio,
789,elizabeth colbert busch,
790,bill mccollum,BillMcCollum
791,alexi giannoulias,Giannoulias
792,alcee hastings,
793,milwaukeeans self governance,
794,joseph testa,josephvtesta
795,robert hagan,
796,alfonso lopez,alfonsolopez3
797,republican party wisconsin,
798,loranne ausley,LoranneAusley
799,blake farenthold,farenthold
800,john barge,
801,marc katz,
802,pat roberts,
803,cathy mcmorris rodgers,
804,tom colicchio,tomcolicchio
805,robert healey,roberthealey
806,vote no 2,
807,ed schultz,edshow
808,american commitment,
809,glenn greenwald,ggreenwald
810,c wharton,
811,allen peake,AllenPeake
812,mike schaufler,
813,vern buchanan,VernBuchanan ‏
814,amy klobuchar,amyklobuchar
815,george barker,GBarks33
816,rosa delauro,rosadelauro
817,steven king,
818,jason carter,jjcforever
819,ban ki moon,
820,jon brien,
821,judson hill,Judsonhill
822,chris gregoire,chris_gregoire
823,bill cassidy,BillCassidy
824,jay carney,JayCarney
825,fran millar,Fran_Millar
826,waco tea party,WacoTeaParty
827,gretchen carlson,GretchenCarlson
828,actionaid k,
829,ben nelson,
830,steny hoyer,StenyHoyer
831,fidelis,FidelisCare
832,donzella james,
833,elliott naishtat,ElliottNaishtat
834,dan lungren,RepDanLungren
835,kris jordan,KrisJordan
836,michael thurmond,PreservesOfLife
837,lynn jenkins,jenkslyn
838,keith stokes,drkeithstokes
839,michael sullivan,
840,let america work,
841,dan sullivan,SenDanSullivan ‏
842,art acevedo,
843,alissa keny guyer,
844,robert brown,
845,bob sears,SearsBob
846,georgia lottery,GeorgiaLottery
