,speaker,twitter_handle,followers
631,meria carstarphen,CarstarphenMJ,21927
632,larry ahern,Larry_Ahern,4355
633,valerie jarrett,vj44,196174
634,new approach oregon,NewApproachPAC,2806
635,steve spinnett,steve_spinnett,15
636,jeff atwater,JeffAtwater,15603
637,linda curtis,TDSBLindaCurtis,984
638,paul workman,PaulCTV,3937
639,jim carrey,JimCarrey,18353767
640,michael morell,MichaelJMorell,50994
641,austan goolsbee,Austan_Goolsbee,81869
642,jb van hollen,JBVanHollen,2450
643,sheila jackson lee,JacksonLeeTX18,72002
644,sheri gallo,SheriGalloD10,1684
645,nan orrock,SenNanOrrock,6392
646,steve scalise,SteveScalise,301398
647,van wanggaard,Vanwanggaard,2203
648,nikki haley,NikkiHaley,411371
649,kyrsten sinema,SenatorSinema,94073
650,michael mccaul,RepMcCaul,29906
651,michelle malkin,michellemalkin,2162278
652,rebecca bradley,RebeccaJBradley,6195
653,david gregory,davidgregory,1733656
654,debbie dooley,Crimsontider,13877
655,paula dockery,Paula_Dockery,8085
656,bret baier,BretBaier,1302359
657,dustin inman society,DustinInmanSoc,97
658,don mcintire,Donmcintire4,0
659,ami bera,RepBera,32919
660,trevor noah,Trevornoah,9787536
661,great america pac,GreatAmericaPAC,8266
662,jan jones,janjonesauthor,4061
663,becky moeller,BeckyMoeller,185
664,emma watson,EmmaWatson,29147919
665,anthony johnson,Anthony_Rumble,194345
666,max nofziger,maxnofziger,29
667,holly benson,BADnewsbenson1,348
668,jody conradt,hof98,108
669,tim griffin,TimGriffinBig12,2804
670,roger goodell,nflcommish,534939
671,ralph peters,ralph_peters,151
672,john elkhay,EllhayJohn,22
673,nina turner,ninaturner,183545
674,john taylor,JohnLloydTaylor,274058
675,michael reagan,ReaganWorld,76054
676,jeff wentworth,JeffInTokyo,187
677,chris smith,SmithChris,2588
678,american action network,AAN,8398
679,marc morial,MARCMORIAL,36136
680,bruce hanna,bdhogfan,284
681,ron gerberry,RonGerberry,771
682,pierre thomas,Pierre_Thomas,266891
683,don gaetz,DonGaetz,145
684,american future fund,AmFutureFund,31512
685,gerard robinson,gerard_924,2084
686,sam stein,samstein,408459
687,barry smitherman,SmithermanTX,3876
688,tom toles,TomTolesToons,7122
689,raymond frank,RaymondFArevalo,124
690,bob duffy,BobDuffyROC,11595
691,american energy alliance,AEA,6519
692,jerry brown,JerryBrownGov,1107251
693,billboard,billboard,7378161
694,paul begala,PaulBegala,204432
695,albio sires,RepSires,20905
696,hans von spakovsky,HvonSpakovsky,5872
697,joe heck,CoachJoeHeck,407
698,charlotte bergmann,memphismayor,75
699,ron klein,OtherRonKlein,176
700,sam houston,BearkatsBSB,12827
701,bill spelman,SpelmanBill,0
702,gordon challstrom,gordchallstrom,8
703,sabino pio renteria,CM_Renteria,3324
704,chris taylor,ChrisTaylorWI,6437
705,nicholas kristof,NickKristof,2045477
706,jennifer shilling,SenShilling,3748
707,farouk shami,Farouk4Texas,177
708,marc thiessen,marcthiessen,37871
709,jake tapper,jaketapper,2044946
710,dick morris,DickMorrisTweet,202179
711,leslie curran,ExpressFraming,66
712,jon huntsman,JonHuntsman,103247
713,betsy mccaughey,Betsy_McCaughey,8213
714,dan boren,dgbjr,19
715,joyce beatty,RepBeatty,31417
716,cleta winslow,cmwinslow04,186
717,bonnie reiss,bonniemreiss,212
718,gil kerlikowske,rgkerlik,31
719,sarah ponder,surahhpondaa,419
720,senate leadership fund,Senate_Fund,1758
721,jeanine pirro,JudgeJeanine,1502367
722,jd hayworth,JDHayworthAZ,754
723,peggy noonan,Peggynoonannyc,182399
724,mary landrieu,MaryLandrieu,5147
725,david miliband,DMiliband,266107
726,mike dovilla,mikedovilla,7600
727,hilary rosen,hilaryr,106006
728,edward flynn,EdwardFlynn12,124
729,ron fournier,ron_fournier,64366
730,chris sununu,ChrisSununu,7923
731,jason nassour,JasonNassour,245
732,josh earnest,joshearnest,50876
733,victoria seaman,VictoriaDseaman,5522
734,kiki curls,KikiCurls,2241
735,jan crawford,JanCBS,19376
736,nicholas mattiello,RISpeaker,2250
737,steve moore,stevemoore2600,3087
738,eric greitens,EricGreitens,87185
739,barbara sharief,BarbaraSharief,238
740,al gore,algore,3085691
741,van taylor,VanTaylorTX,9449
742,debra medina,debmedina,3098
743,amy kremer,AmyKremer,31293
744,bart stupak,RealBartStupak,143
745,bill pascrell,BillPascrell,38501
746,sharon day,usambassadorcr,5834
747,carlos trujillo,USAmbOAS,5619
748,mary squires,MaryTylerMorgue,222
749,texas values,txvalues,4394
750,mike adams,Channel75live,30320
751,jim keffer,RepJimKeffer,1858
752,scott bruun,JoinScott,469
753,bob buckhorn,BobBuckhorn,52696
754,jim francesconi,JimFrancesconi,75
755,ryan lizza,RyanLizza,232258
756,karen harrington,KA_Harrington,2021
757,jorge ramos,jorgeramosnews,3491479
758,steve adler,Steve_Adler,5760
759,tom kean jr,TomKeanJr,0
760,marilinda garcia,MarilindaGarcia,4261
761,einer elhauge,elhauge,993
762,eddie rodriguez,EddieforTexas,10857
763,kathie tovo,kathietovo,3963
764,cathie adams,cathieadams,3583
765,buzzfeed,BuzzFeed,6536089
766,megyn kelly,megynkelly,2403160
767,doris kearns goodwin,DorisKGoodwin,86938
768,william barber,kidwilly23,355
769,texas public policy foundation,TPPF,18398
770,uber,Uber,989667
771,renee ellmers,RepReneeEllmers,17010
772,lynn westmoreland,Westmoreland_GA,14148
773,lesley cohen,Cohen4AD29,1939
774,randi weingarten,rweingarten,89369
775,hemant mehta,hemantmehta,67915
776,kevin levitas,kevin_levitasTG,0
777,jim mcgreevey,jim_mcgreevey,693
778,maciver institute,MacIverWisc,8801
779,paige kreegel,ElectKreegel,158
780,mark zaccaria,Mark_Zaccaria,306
781,dan flynn,DanFlynn,25377
782,anne nolan,AnneNolan2,1613
783,john huppenthal,HuppenthalADE,834
784,meg whitman,MegWhitman,212632
785,jonathan jarvis,JonathanJarvis,1909
786,jeff fitzgerald,cheffitzgerald,227
787,dubose porter,porterforga,800
788,dick armey,DickArmey,8310
789,phil robertson,Reaproy,28764
790,geraldine thompson,defines1,29
791,loretta sanchez,LorettaSanchez,18296
792,steve ogden,SteveOgdenArt,2167
793,leah vukmir,LeahVukmir,12712
794,robert barber,RA_Barber,2034
795,bill bennett,WilliamJBennett,46791
796,steve southerland,Rep_Southerland,7929
797,bruce rauner,BruceRaunerHQ,3816
798,john thrasher,jthrasher,6961
799,violence policy center,VPCinfo,8165
800,danny tarkanian,DannyTarkanian,11994
801,dave aronberg,aronberg,6038
802,pat carlson,PatCarlsonMinis,545
803,ellen troxclair,EllenforAustin,3698
804,bryce reeves,ReevesVA,4060
805,caroline casagrande,CCCasagrande1,2544
806,jim waldman,jimwaldman,564
807,jodie laubenberg,LaubenbergTX,272
808,jason conger,JasonConger,1989
809,bill kristol,BillKristol,473690
810,diana degette,DeGette5280,1643
811,mike dudgeon,mjdudgeon,1114
812,rob wittman,ReElectWittman,1079
813,jon husted,JonHusted,12677
814,will wynn,mycarheaven,2047
815,rick kriseman,Kriseman,17145
816,mark kelly,ShuttleCDRKelly,276667
817,jd van brink,JDVanBrink,111
818,atlanta braves,Braves,1264428
819,rhue reis,ReisforCongress,100
820,arthenia joyner,JoynerforSenate,376
821,chris mccalla,HeyMrMcCalla,363
822,dave marsden,SenDaveMarsden,3624
823,diane black,RepDianeBlack,30408
824,christopher monckton,chris_monckton,535
825,frank wolf,RepWOLFPress,4907
826,louis marinelli,LouisJMarinelli,2229
827,defending main street,DefendMainSt,27
828,david rivera,RepRivera,3230
829,renee unterman,Renee_Unterman,3866
830,kevin flynn,FlynnCNBC,1630
831,sally bethea,sbethea063,11
832,planned parenthood,PPFA,263515
833,stefani carter,stefani_carter,2231
834,gene mcintyre,genem3,184
835,lone star project,lsptex,3980
836,peter beinart,PeterBeinart,83722
837,jefferson smith,jeffersonsmithp,584
838,lee holloway,icqheretic,220
839,eric gray,TheEricGray,1485
840,terry russell,TerryRussellLtd,385
841,james buchal,JamesBuchal,316
842,hugh thompson,thommosays,453
843,ray lewis,raylewis,368215
844,rose mary grant,Grant7Rose,3
845,julie lassa,JulieMLassa,2490
846,adam schefter,AdamSchefter,7371773
847,jack hanna,JungleJackHanna,44099
848,sierra club,SierraClub,348177
849,kay hagan,kayhagan,7923
850,kirsten gillibrand,SenGillibrand,1410883
851,tom mechler,tommechler,3028
852,maria sachs,MariaSachs,3318
853,william benson huber,NYCWBH,10045
854,mark obenshain,MarkObenshain,5879
855,wayne christian,ChristianForTX,2642
856,chris stirewalt,ChrisStirewalt,90370
857,james stegmaier,jpstegmaier,57
858,burnt orange report,BOR,9829
859,claire suggs,ClaireVSuggs,404
860,john fleming,RepFleming,12695
861,rosemary lehmberg,RoseLehmberg,1
862,stephen nodine,NodineTweets,205
863,kevin mccarthy,GOPLeader,277576
864,michelle nunn,MichelleNunn,10749
865,corrine brown,CorrineBrownCon,141
866,peter pantuso,PantusoPeter,161
867,carol morgan,AtlantaPR,7625
868,debbie mayfield,debbie_mayfield,4726
869,chris bowers,chrisbowers,472
870,colleen kiernan,ckiernanATL,243
871,mickie williams,sup_steez,97
872,progress florida,ProgressFlorida,12735
873,msnbc,MSNBC,2435543
874,matt caldwell,mattcaldwell_fl,6627
875,david barton,DavidBartonWB,30611
876,scott maddox,duffmc2001,139
877,steve goreham,stevegoreham,247
878,ronnie earle,stay_numb_,60
879,bryan hughes,bryanweather,2685
880,penny pritzker,PennyPritzker,3220
881,jim moore,cougsgo,15865
882,lorraine fende,FendeLorraine,16
883,kai degner,kaidegner,2109
884,seaworld,SeaWorld,142796
885,myra crownover,MyraCrownover,3172
886,steve israel,RepSteveIsrael,31330
887,washington examiner,dcexaminer,159409
888,tarina keene,ProtectChoice,684
889,todd richardson,Rep_TRichardson,5935
890,pete hegseth,PeteHegseth,188694
891,rodney ellis,RodneyEllis,13403
892,steve wise,notamagi,562
893,marina dimitrijevic,supervisormd,1480
894,scott keyes,smkeyes,6971
895,deval patrick,DevalPatrick,39835
896,steve loomis,48Stevie,0
897,james woods,RealJamesWoods,2125054
898,tom steyer,TomSteyer,227428
899,vance smith,vanceasmith,701
900,joe wilkinson,gillinghamjoe,350218
901,michele walsh,Brez70,97
902,jim mcdermott,RepJimMcDermott,14909
903,zoe lofgren,ZoeLofgren,501
904,david caton,DAVECATON01,1558
905,morten jerven,MJerven,4823
906,scott peters,ScottPetersSD,11218
907,john klenke,9773powerstroke,1
908,janice hahn,SupJaniceHahn,15399
909,jennifer parrish,JenParrish777,752
910,ralph reed,ralphreed,13134
911,anthony weiner,CarlosDWeiner,116
912,sandra stotsky,sgstotsky,761
913,mike prendergast,MPrendergastTX,3691
914,jim gilmore,gov_gilmore,5336
915,maria bartiromo,MariaBartiromo,476307
916,big gamble nj,BigGambleNJ,50
917,teresa ghilarducci,tghilarducci,3874
918,jack roberts,By_JackRoberts,8272
919,josh trevino,Parallelfilmss,403
920,ilyse hogue,ilyseh,41968
921,tucker carlson,TuckerCarlson,2626816
922,tim sheehy,TimSheehy,582
923,andy craig,nland360,2158
924,jose rodriguez,Josseroodriguez,366945
925,wesley clark,WesClark,1615
926,chris riley,Chris_Riley2,10179
927,doreen costa,DoreenCostaRI,1086
928,duriya farooqui,DuriyaFarooqui,1669
929,kimberly guilfoyle,kimguilfoyle,1507015
930,american petroleum institute,APIenergy,69032
931,hank gilbert,Hank4Texas,1107
932,dana milbank,Milbank,113595
933,todd tiahrt,reptoddtiahrt,161
934,ryan frazier,RyanLFrazier,2547
935,charlie sykes,SykesCharlie,154939
936,robert kraig,RKraig1912,911
937,gary lambert,GaryLambertNH,1685
938,pink pony,showbars,5572
939,chris dudley,ChrisUnderoath,16560
940,jimmy barrett,jameshbarrett,531
941,tom craddick,craddick_tom,20
942,gail collins,gailcollins,62949
943,david segal,SegalforRI,391
944,dana wachs,DanaJWachs,2485
945,mike hymes,THS67,50
946,bob barr,bobbarr,5034
947,gloria romero roses,gromeroroses,408
948,maria shriver,mariashriver,2206739
949,jim mowrer,jimmowrer,1802
950,joseph levy,josephmlevy,438
951,charles odimgbe,Chazorlee,5
952,jim rubens,JimRubens,829
953,bill mccoshen,billmccoshen,1192
954,justin trudeau,JustinTrudeau,4487269
955,ted kanavas,Ted_Kanavas,511
956,rhode island senate,RISenate,12663
957,luis alejo,SupervisorAlejo,3658
958,van jones,VanJones68,828262
959,butch conway,conwaysheriff,242
960,vernon keenan,vkeenan,126
961,richard morrison,RichardTeam,948
962,house majority pac,HouseMajPAC,5283
963,peter morici,PMorici1,11185
964,julie pace,jpaceDC,64614
965,cnn,CNN,41901400
966,nancy grace,NancyGrace,429673
967,jeff sessions,jeffsessions,58255
968,hunter schwarz,hunterschwarz,20397
969,michael bennet,MichaelBennet,21097
970,lauren hitt,LaurenHitt,3701
971,roy zimmerman,royzimmerman,2603
972,stuart sternberg,wdwfanzonestu,7693
973,woody degan,Degan4Senate,4
974,linda mcmahon,Linda_McMahon,83510
975,paul manafort,PaulManafort,82024
976,randy neugebauer,RandyNeugebauer,13997
977,kal penn,kalpenn,607656
978,jeff miller,jeffmillerla,1490
979,burger king,BurgerKing,1745435
980,alternativepac,AlternativePac,251
981,bill seitz,BillSeitz,1671
982,kate obenshain,kateobenshain,8342
983,mike coffman,RepMikeCoffman,41557
984,donna garner,dmgarner13,366
985,scott garrett,RepGarrett,6319
986,tim ziemer,tziemer763,0
987,daniel greenfield,Sultanknish,12614
988,ted ankrum,TedAnkrum,46
989,matt mackowiak,MattMackowiak,22860
990,tammy duckworth,SenDuckworth,542884
991,dan ramos,danramoscomedy,1029
992,tom corbett,CorbettforGov,5839
993,brian schweitzer,brianschweitzer,4867
994,jay goyal,jaygoyal,256
995,ken mercer,TheMoves,85
996,ken langone,realkenlangone,514
997,kent conrad,Conradozxc,178
998,mike scott,mikescott,35672
999,tom nelson,tan123,18338
1000,mark begich,MarkBegich,4879
1001,patrick moore,EcoSenseNow,75190
1002,mike gravel,MikeGravel,78110
1003,linda finn,Lindafblue,1671
1004,jerry falwell,JerryFalwellJr,72165
1005,julaine appling,sixfooter,275
1006,kari chisholm,karichisholm,1874
1007,john lott,LottOnBaseball,24985
1008,ruben navarrette jr,RubenNavarrette,5085
1009,jeremy schaap,JeremySchaap,121681
1010,jamie samons,jamiesamons,420
1011,john raese,RaeseForSenate,186
1012,heather beaven,ElectBeaven,1743
1013,john stemberger,JohnStemberger,2408
1014,jonah goldberg,JonahNRO,326169
1015,charlene lima,CharleneLimaRI,607
1016,steven rattner,SteveRattner,68807
1017,dwight holton,RogueDew,1231
1018,carol browner,Kandice_Masinga,1
1019,gary painter,GaryDeanPainter,921
1020,sonji jacobs,SonjiJacobs,2281
1021,gloria steinem,GloriaSteinem,322568
1022,jay leno,jayleno,637863
1023,franklin graham,Franklin_Graham,1915708
1024,joel klatt,joelklatt,127484
1025,mark kirk,SenatorKirk,54381
1026,georgia farm bureau,GaFarmBureau,5810
1027,brian anderson,AndersonBrian01,3457
1028,clay cox,CoachCox19,8805
1029,scott desjarlais,DesJarlaisTN04,18017
1030,joseph mcnamara,Joemacisbatman,222
1031,sandra smith,SandraSmithFox,189427
1032,suzanne devlin,GrevlinSuzanne,24
1033,doug macginnitie,mac4sos,760
1034,josh fox,joshfoxfilm,56122
1035,john sharp,JohnSharp99,2723
1036,will kraus,unclekraus,257
1037,larry kilgore,DrLarryKilgore,229
1038,gary schaer,GarySchaerNJ,896
1039,donald rumsfeld,RumsfeldOffice,82150
1040,theresa price,theresaprice21,309
1041,terry gorman,TerryJGorman,285
1042,steven frias,StevenFD_,82
1043,susan sosnowski,SozMama,2
1044,dan kapanke,DanKapanke,840
1045,dana perino,DanaPerino,1826735
1046,gayle smith,GayleSmith,6585
1047,david wu,PG_Mashumaro,12002
1048,ari melber,AriMelber,537887
1049,corey stewart,CoreyStewartVA,27526
1050,justin amash,justinamash,174439
1051,lz granderson,LZGranderson,41911
1052,buddy carter,RepBuddyCarter,18614
1053,bruce starr,brucestarr29,2270
1054,charlie flemming,charlieflemmin1,245
1055,pam bondi,PamBondi,30833
1056,mark geist,MarkGeistSWP,38042
1057,andrea mitchell,mitchellreports,1758666
1058,jon voight,jonvoight,78668
1059,mike tate,michaeljtate,1630
1060,john ludlow,surfglen,500
1061,bob hackworth,BobHackworth,236
1062,vicki shabo,VShabo,1515
1063,barry duval,barry_duval,4
1064,richard corcoran,richardcorcoran,15986
1065,stacey campfield,realstaceyc,202
1066,michelle litjens,michellelitjens,2038
1067,basil seggos,BasilSeggos,1843
1068,charlotte lehan,Charbs51,7
1069,jennifer granholm,JenGranholm,105346
1070,rick barber,rick03907,888
1071,sandy pasch,sandyforsenate,756
1072,stacey abrams,staceyabrams,470014
1073,larry sabato,LarrySabato,145225
1074,david corn,DavidCornDC,726611
1075,eleanor holmes norton,EleanorNorton,33228
1076,martha mcsally,SenMcSallyAZ,60516
1077,heidi heilman,HeidiHeilman,26
1078,eva galambos,evagalambos,46
1079,fred clark,SlacktivistFred,3929
1080,dan gecker,dangecker,203
1081,donny deutsch,DonnyDeutsch,89548
1082,sanford bishop,SanfordBishop,19485
1083,ismael ozanne,DaneDAOzanne,149
1084,frank lobiondo,FrankLoBiondoNJ,17176
1085,lucy flores,LucyFlores,23796
1086,joe donnelly,deaco2000,2745
1087,eric holder,EricHolder,482332
1088,jd alexander,Jdalexander64,974
1089,john chisholm,johndchisholm,1229
1090,robert bennett,WAVY10Bob,2617
1091,dan saltzman,DanSaltzman1016,50
1092,rod smith,TheREALrodSmith,60975
1093,jane kidd,janekidd12,444
1094,paul bedard,SecretsBedard,21992
1095,michael madigan,madiganm,1561
1096,jon richards,iamthejmark,869
1097,jorge elorza,Jorge_Elorza,12468
1098,richard burr,SenatorBurr,150519
1099,christopher little,ChrisLittle25,164
1100,tim grendell,TimGrendell,0
1101,frank brogan,FrankNutr,81
1102,celia israel,CeliaIsrael,6790
1103,amy schumer,amyschumer,4725764
1104,joe walsh,WalshFreedom,163985
1105,larry gonzales,gonzolk,43
1106,brian kilmeade,kilmeade,406616
1107,jeff wagner,Jeff_Wagner4,2567
1108,mike collins,MIKECOLLINS99,2754
1109,cnsnews,cnsnews,117672
1110,josh hawley,HawleyMO,48279
1111,greg steube,gregsteube,5617
1112,richard woods,Richard_Woods,10824
1113,amy hanauer,amyhanauer,2123
1114,rich lowry,RichLowry,172911
1115,marla stephens,marla_stephens,8
1116,david frum,davidfrum,747065
1117,jacky rosen,RosenforNevada,37090
1118,liberals are cool,LiberalsAreCool,2733
1119,bob ryan,GlobeBobRyan,109834
1120,allan levene,LEVENEBRICKWORK,15
1121,gary cobb,cobbyqpr,532
1122,ernest almonte,ErnestAlmonte1,3
1123,jeff brandes,JeffreyBrandes,10069
1124,chris devaney,FormerChairman,2182
1125,allen alley,allen_alley,1907
1126,janet napolitano,t_tenglish,638
1127,curt schilling,gehrig38,256871
1128,steve buckstein,SteveBuckstein,611
1129,carl paladino,CarlPaladino,6975
1130,joy pullmann,JoyPullmann,7570
1131,dan stein,DanS_journalism,104
1132,charlie baird,charliebaird10,34
1133,sherry sylvester,sylvester1630,534
1134,brian robinson,br524,1387
1135,dan becker,becker513,1741
1136,basic rights oregon,basicrights,6578
1137,beverly hall,IrishBones69,182
1138,reclaim america pac,TeamReclaim,17
1139,scott jones,FOX59SJONES,12757
1140,gordon quan,GordonQuan,283
1141,stacey evans,EvansforGeorgia,5270
1142,whoopi goldberg,WhoopiGoldberg,1447539
1143,sylvia romo,sylromo,348
1144,mark sanford,MarkSanford,13951
1145,competitive enterprise institute,ceidotorg,11390
1146,william howell,ProfWillHowell,1723
1147,bill kennemer,repbillkennemer,422
1148,michael chippendale,mickchip,10
1149,joe morrissey,MorrisseyPhotos,1537
1150,deborah kafoury,dkafoury,5426
1151,elizabeth cohen,elizcohencnn,20681
1152,madison action fund,MadisonAction,80
1153,brad avakian,BradAvakian,2511
1154,breitbart,BreitbartNews,1095941
1155,kathleen passidomo,Kathleen4SWFL,2869
1156,joe atkins,MrJophoto,965
1157,bill mitchell,mitchellvii,413809
1158,ertharin cousin,ertharin,97
1159,barry garner,Bazag69,324
1160,lenny curry,lennycurry,20315
1161,bill gates,BillGates,47175167
1162,ben bius,BenBius,251
1163,xavier becerra,AGBecerra,63167
1164,charley wilkison,charleywilkison,578
1165,don lemon,donlemon,868686
1166,baker harrell,itstimefounder,841
1167,amanda fritz,AmandaFritzRN,6651
1168,george holding,RepHolding,16253
1169,chuck donovan,Dunnie42,86
1170,peter schweizer,peterschweizer,40070
1171,john shimkus,RepShimkus,29847
1172,stephanie desilva,StephanieDesi10,1
1173,daniel rodriguez,sethillgard,876
1174,gina hinojosa,GinaForAustin,6204
1175,mahmoud ahmadinejad,Ahmadinejad1956,99977
1176,matt gaetz,mattgaetz,118687
1177,jan schakowsky,janschakowsky,41094
1178,chris van hollen,ChrisVanHollen,149957
1179,james skeffington,jamesskeff2013,1
1180,one nation pac,OneNationPAC,389
1181,kenneth mckay,McKayKH_95,142
1182,jamie oliver,jamieoliver,6753729
1183,steve doocy,SteveDoocy,251765
1184,yvette mcgee brown,YvetteMB1,2776
1185,al roker,alroker,2521563
1186,jim taricani,jim_taricani,753
1187,bing west,BingWest,1771
1188,ron shipman,RonShipman2,1
1189,lori haas,LoriHaasVA,2023
1190,john morgan,JohnMorganESQ,64081
1191,jb powell,JBPowell11,293
1192,doug ducey,dougducey,54077
1193,stephanie schriock,Schriock1,22321
1194,ken hagan,hagan2010,100
1195,katrina shankland,RepShankland,2652
1196,elizabeth dennigan,xoladiegaga,4
1197,steve doell,DeadlyDoellies,22
1198,jerome buting,JButing,102396
1199,mallard fillmore,fillinator,6
1200,dale earnhardt jr,DaleJr,2475991
1201,joe sanfelippo,Joe_Sanfelippo,40385
1202,craig miller,junior_miller,176405
1203,michelle mosby,MsHelpMeHelpYou,845
1204,mick mulvaney,MickMulvaneyOMB,36361
1205,ted piccolo,tedpiccolo,16
1206,barbara lee,BarbaraLeeSays,5659
1207,jennifer carroll,ChefJenCarroll,38390
1208,pam stewart,pstewart78,283
1209,david pennington,pennington03,2651
1210,chris latvala,ChrisLatvala,4887
1211,stop gillnetting now,StopGillnetting,28
1212,larry pressler,larrypressler,580
1213,national review,NRO,323701
1214,liz cheney,Liz_Cheney,92821
1215,beth harwell,BethHarwellTN,15105
1216,joni ernst,joniernst,37497
1217,myra signer,MyraSigner,0
1218,mary jordan,marycjordan,6909
1219,bill de blasio,BilldeBlasio,149966
1220,richard shelby,SenShelby,80125
1221,james carville,JamesCarville,48522
1222,tom perriello,tomperriello,102721
1223,nia gill,gill_nia,348
1224,weston wamp,westonwamp,3033
1225,lauren kane,lelizabethkane,426
1226,ian lang,IanLangITVWales,1527
1227,michael cohen,MichaelCohen212,442186
1228,stephen fincher,RepFincherTN08,9485
1229,eugene mckenna,euggmac,16
1230,reza aslan,rezaaslan,288532
1231,chris widener,ChrisWidener,123065
1232,nationwide,Nationwide,62789
1233,empowered georgia,empoweredga,1226
1234,michael cutler,cutlermj,651
1235,gavin mcinnes,DefendGavin,7779
1236,ken paxton,KenPaxtonTX,39927
1237,glenn nye,GlennNye,3456
1238,shawn oconnor,ShawnsWineLife,124
1239,tom ganley,tomganley,675
1240,emil runge,RungeEmil,39
1241,victoria jackson,VictoriaJackson,15272
1242,bob bennett,BobBennett_b2,2100
1243,chris koster,Koster4Missouri,18057
1244,dan moore,DANandMOORE,16015
1245,brad woodhouse,woodhouseb,27437
1246,charles cooper,coopeydoop,6142
1247,oxfam ireland,OxfamIreland,11245
1248,jason rae,JasonRRae,4096
1249,jennifer horn,NHJennifer,3988
1250,brad blakeman,BradBlakeman,124
1251,efrain de la fuente,VoteDeLaFuente,7
1252,nancy jester,nancy_jester,2116
1253,rebecca kleefisch,RebeccaforReal,12868
1254,nadine smith,NadineMCSmith,1536
1255,eric johnson,EricJJohnson79,49959
1256,brian schatz,brianschatz,211024
1257,bumper sticker,bumpstickideas,459
1258,occupy providence,OccupyProv,5626
1259,mark tapscott,MarkTapscott,25
1260,elton john,eltonofficial,745157
