,jsonid,label,headline_text,subject,speaker,speakerjobtitle,stateinfo,partyaffiliation,barelytruecounts,falsecounts,halftruecounts,mostlytrueocunts,pantsonfirecounts,context,clean,sentiment_vector,vader_polarity,sentiment_score
6852,3420.json,true,Georgia still has one of the richest programs in terms of scholarships for students to go to college.,education,nathan-deal,0,0,republican,9.0,5.0,11.0,11.0,0.0,a radio interview,georgia still one richest program term scholarship student go college,"[0.0, 0.726, 0.274, 0.5267]",0,0.5267
6853,9153.json,mostly-true,"In order to pass the CRCT in Georgia, you simply have to get half of the answers correct.",education,alisha-thomas-morgan,0,Georgia,democrat,0.0,0.0,0.0,1.0,0.0,a speech,order pas crit georgia simply get half answer correct,"[0.0, 1.0, 0.0, 0.0]",0,0.0
6863,1170.json,false,A scheduled speech by President Barack Obama will be the first time an American president has spoken directly to the nation's school children about persisting and succeeding in school.,education,arne-duncan,U.S. Secretary of Education,Illinois,democrat,1.0,2.0,1.0,2.0,0.0,a letter to principals,schedule speech presid barack obama first time american presid spoken direct nation school child persist succeed school,"[0.0, 0.833, 0.167, 0.4939]",0,0.4939
6879,2433.json,half-true,"I have given $30,000 of my unused travel expenses over the years to supplement the school systems general budget.",education,sarah-copelin-wood,0,0,none,0.0,0.0,1.0,0.0,0.0,a newspaper article,given onus travel expense year supplement school system general budget,"[0.0, 1.0, 0.0, 0.0]",0,0.0
6938,8517.json,half-true,"Charlie Crist stopped layoffs of some 20,000 school teachers during the global economic meltdown.",education,charlie-crist,0,Florida,democrat,15.0,9.0,20.0,19.0,2.0,a speech announcing his candidacy for governor,charlie crist stop layoff school teacher global econom meltdown,"[0.216, 0.784, 0.0, -0.296]",0,-0.296
6945,244.json,half-true,"Says he has ""the most impressive education record"" of the Republican candidates.",education,mike-huckabee,author,Arkansas,republican,12.0,5.0,9.0,3.0,4.0,"a debate in Des Moines, Iowa",say impress educ record republican candid,"[0.0, 0.633, 0.367, 0.4404]",0,0.4404
6999,11195.json,barely-true,Says Marco Rubios proposed college affordability overhaul would specifically benefit for-profit colleges.,education,american-bridge-21st-century,0,0,democrat,2.0,1.0,0.0,3.0,0.0,a press release,say marco rubio propos college afford overhaul would specif benefit profit college,"[0.0, 0.629, 0.371, 0.7096]",0,0.7096
7045,10179.json,false,"In K-12 education, our kids are scoring at the bottom of science and mathematics right now in the industrialized world -- at the bottom.",education,dave-brat,College professor,Virginia,republican,2.0,5.0,0.0,2.0,0.0,a debate,k educ kid score bottom science mathematic right industry world bottom,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7078,6107.json,mostly-true,Say Portland Public Schools central administration makes up less than 4 percent of the staff.,education,portland-public-schools,School district,Oregon,none,0.0,0.0,1.0,1.0,0.0,a guest column,say portland public school central administr make le percent staff,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7104,7945.json,true,Says proposed teacher contract would layer on more restrictive rules.,education,portland-public-schools,School district,Oregon,none,0.0,0.0,1.0,1.0,0.0,an opinion piece.,say propos teacher contract would layer restrict rule,"[0.271, 0.729, 0.0, -0.3818]",0,-0.3818
7190,3316.json,barely-true,Some of our states educational administrators joined the feds in seeking to mandate Arabic classes for Texas children.,education,chuck-norris,0,Texas,republican,1.0,0.0,0.0,0.0,0.0,an opinion column,state educ administr join fed seek mandat arab class text child,"[0.0, 0.82, 0.18, 0.296]",0,0.296
7259,1845.json,half-true,A Houston school district analysis found that the (State Board of Education) more than quadrupled the number of historical figures students must learn about.,education,kathy-miller,"President, Texas Freedom Network",0,none,0.0,0.0,1.0,0.0,0.0,an op-ed article,houston school district analysis found state board educ quadruple number histor figure student must learn,"[0.0, 0.915, 0.085, 0.0772]",0,0.0772
7293,8258.json,half-true,"Pending a federal waiver, the 2013 Legislature eliminated the overtesting of students in grades 3-8 by decreasing the number of tests from 17 to 8.",education,jason-isaac,Transportation consultant,Texas,republican,2.0,0.0,1.0,0.0,1.0,a published commentary,pend feder waiver legislature elimi overtest student grade decrease number test,"[0.0, 0.885, 0.115, 0.0772]",0,0.0772
7305,3174.json,false,United States students are achieving at number 25 out of 29 developing countries when it comes to science and math.,education,rebecca-kleefisch,Candidate for lieutenant governor,Wisconsin,republican,1.0,3.0,4.0,0.0,1.0,a news conference,unit state student achiev number develop country come science math,"[0.0, 0.874, 0.126, 0.0772]",0,0.0772
7369,10171.json,mostly-true,Nathan Deal saved the HOPE scholarship program.,education,zell-miller,0,Georgia,none,0.0,1.0,0.0,2.0,0.0,television ad,nathan deal save hope scholarship program,"[0.0, 0.396, 0.604, 0.7269]",1,0.7269
7408,6075.json,true,Says only 18 percent of Portland elementary schools have art instruction compared to 83 percent nationally.,education,sam-adams,Mayor of Portland,Oregon,democrat,3.0,2.0,5.0,2.0,0.0,in a tweet.,say percent portland elementary school art instruct compar percent nation,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7431,6596.json,half-true,"In Massachusetts, Gov. Romney narrowed the gap between students of different races.",education,jeb-bush,0,Florida,republican,17.0,5.0,17.0,24.0,2.0,a convention speech,massachusetts gov romney narrow gap student differ race,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7483,2890.json,true,The tuitions in Virginia colleges...have doubled -- 100 percent -- in the last 10 years.,education,bob-mcdonnell,Governor,Virginia,republican,6.0,5.0,7.0,6.0,3.0,0,tuition virginia college doubl percent last year,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7493,2896.json,mostly-true,Providence teachers can go five or six years without an evaluation.,education,angel-taveras,Mayor of Providence,Rhode Island,democrat,2.0,1.0,2.0,2.0,0.0,an appearance on WPRI-12's Newsmakers,provid teacher go five six year without eval,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7608,5173.json,mostly-true,One generation ago we led the world in college graduation. Were 16th today.,education,arne-duncan,U.S. Secretary of Education,Illinois,democrat,1.0,2.0,1.0,2.0,0.0,a town hall-style meeting,one generat ago led world college graduate th today,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7662,10747.json,true,"We have an 80 percent graduation rate in high school after spending more per student than any country in the world other than Liechtenstein, I think, or Luxembourg and a couple other small countries.",education,jeb-bush,0,Florida,republican,17.0,5.0,17.0,24.0,2.0,a speech in New Hampshire,percent graduate rate high school spend per student country world liechtenstein think luxembourg coupl small country,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7760,6882.json,barely-true,We confer more PhDs each year than any other university in America except Berkeley.,education,bill-powers,"president, University of Texas at Austin",Texas,none,1.0,0.0,0.0,0.0,0.0,"his ""State of the University"" address.",confer phd year univers america except berkeley,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7810,9792.json,true,Jason Carter backed three of Nathan Deals budgets but accuses the governor of underfunding education.,education,john-padgett,party chair,Georgia,republican,0.0,0.0,0.0,0.0,0.0,press release,jason carter back three nathan deal budget accus governor underfund educ,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7822,4976.json,mostly-true,(The Opportunity Scholarship Act) would be funded directly from public school budgets. So it would absolutely take money out of the public school system to transfer to private and religious schools.,education,julia-sass-rubin,Education advocate,New Jersey,none,0.0,0.0,0.0,1.0,0.0,an interview on News 12 New Jersey’s Power & Politics show,opportun scholarship act would fund direct public school budget would absolut take money public school system transfer privat religio school,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7860,4217.json,mostly-true,Says more than eight countries lead the United States in the percentage of college graduates.,education,cory-booker,U.S. senator,New Jersey,democrat,0.0,4.0,2.0,8.0,0.0,a round table discussion on Meet the Press,say eight country lead unit state percentage college graduate,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7884,11011.json,mostly-true,Says Jeb Bush oversaw (an) average in-state tuition increase of 48.2 percent during his tenure.,education,florida-democratic-party,0,Florida,democrat,5.0,4.0,4.0,5.0,3.0,a press release,say jeb bush oversaw averag state tuition increas percent tenure,"[0.0, 1.0, 0.0, 0.0]",0,0.0
7971,3543.json,half-true,Says the Beaumont school districts superintendent is the highest-paid in the state.,education,stefani-carter,State representative,Texas,republican,0.0,0.0,2.0,0.0,0.0,0,say belmont school district superintend highest paid state,"[0.0, 1.0, 0.0, 0.0]",0,0.0
8073,11234.json,false,Not one of the 17 GOP candidates has discussed how theyd address the rising cost of college.,education,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,a tweet,one gop candid discuss theyd address rise cost college,"[0.0, 1.0, 0.0, 0.0]",0,0.0
8112,13091.json,mostly-true,"Latinos in Nevada support Educational Savings Accounts, helping more than 450,000 students access better schools. But Catherine Cortez Masto is against it.",education,libre-initiative,0,0,organization,0.0,0.0,1.0,1.0,0.0,a digital ad,latino nevada support educ save account help student access better school cadherin cortex mast,"[0.0, 0.465, 0.535, 0.8885]",1,0.8885
8143,4324.json,false,Says Texas schools have had massive increases in class sizes with Rick Perry as governor.,education,arne-duncan,U.S. Secretary of Education,Illinois,democrat,1.0,2.0,1.0,2.0,0.0,an interview.,say text school massive increas class size rick peri governor,"[0.0, 1.0, 0.0, 0.0]",0,0.0
8283,10987.json,false,On Common Core.,education,chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,an interview on CBS' Face the Nation,common core,"[0.0, 1.0, 0.0, 0.0]",0,0.0
8365,4247.json,half-true,Today we stand as the highest-performing urban school district in America.,education,alberto-carvalho,Miami-Dade schools superintendent,Florida,none,0.0,0.0,1.0,0.0,0.0,comments to the Miami-Dade legislative delegation,today stand highest perform urban school district america,"[0.0, 1.0, 0.0, 0.0]",0,0.0
8369,6480.json,mostly-true,"After one year, Tennessees students made their biggest single-year jump in achievement ever recorded in the state.",education,arne-duncan,U.S. Secretary of Education,Illinois,democrat,1.0,2.0,1.0,2.0,0.0,column in the Huffington Post,one year tennessee student made biggest singl year jump achiev ever record state,"[0.0, 1.0, 0.0, 0.0]",0,0.0
8374,4793.json,barely-true,"Says 23 percent of ninth graders in Newark will graduate with a high school diploma in four years and we spend $100,000 on their education in those four years, more than is spent on any other set of students in the United States.",education,chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,an interview at Facebook headquarters,say percent ninth grader newark graduate high school diploma four year spend educ four year spent set student unit state,"[0.0, 1.0, 0.0, 0.0]",0,0.0
8419,10523.json,false,Florida students take an array of standardized high stakes tests which eat up as much as 45 school days per year.,education,florida-badass-teachers-association,0,Florida,none,0.0,1.0,0.0,0.0,0.0,a statement to the Miami Herald,florida student take array standard high stake test eat much school day per year,"[0.0, 1.0, 0.0, 0.0]",0,0.0
8476,4369.json,true,"A national study of 2,500 charter schools shows that maybe 20 percent do better than the community public schools, 40 percent or so do worse and the rest are not having any significant difference.",education,james-parisi,Lobbyst for the Rhode Island Federation of Teachers and Health Professionals,Rhode Island,labor-leader,0.0,0.0,0.0,0.0,0.0,a TV news show,nation study charter school show mayb percent better community public school percent wors rest significa differ,"[0.0, 0.838, 0.162, 0.4404]",0,0.4404
8509,12968.json,mostly-true,"Chicago Public Schools lead the country in high school graduation of an urban school system, match the United States of America in kids graduating high school going on to a four-year college, and are producing eighth-grade leaders in the country in math gains, fourth-grade leaders in reading gains.",education,rahm-emanuel,Mayor of Chicago,Illinois,democrat,1.0,1.0,1.0,2.0,0.0,a press event,chicago public school lead country high school graduate urban school system match unit state america kid graduate high school go four year college produc eighth grade leader country math gain fourth grade leader read gain,"[0.0, 0.829, 0.171, 0.7783]",0,0.7783
8689,9106.json,barely-true,We have been teaching these (Common Core) standards in Florida schools since 2010.,education,janet-adkins,state representative,Florida,republican,1.0,0.0,1.0,1.0,0.0,a Florida House subcommittee meeting,teach common core standard florida school sinc,"[0.0, 1.0, 0.0, 0.0]",0,0.0
8701,5726.json,barely-true,The Austin school district calendar lists 64 different dates for either a state-mandated test or make-up test.,education,sara-stevenson,Librarian,Texas,none,1.0,0.0,0.0,0.0,0.0,an op-ed column.,austin school district calendar list differ date either state mandat test make test,"[0.0, 1.0, 0.0, 0.0]",0,0.0
8726,10681.json,half-true,"A school uniform policy helps with school safety, helps with truancy.",education,janet-adkins,state representative,Florida,republican,1.0,0.0,1.0,1.0,0.0,a discussion about school uniforms,school uniform police help school safety help truancy,"[0.0, 0.379, 0.621, 0.802]",1,0.802
8755,11735.json,barely-true,"Under Scott Walker, Wisconsin moved from 16th to third in percentage of people with student loan debt.",education,scot-ross,0,0,activist,1.0,0.0,0.0,0.0,0.0,a television interview,scott walker wisconsin move th third percentage peopl student loan debt,"[0.2, 0.8, 0.0, -0.3612]",0,-0.3612
8845,8730.json,false,Fifty-three percent of graduates from liberal arts colleges these days cant find jobs.,education,johnny-isakson,U.S. Senator,Georgia,republican,2.0,3.0,3.0,2.0,0.0,a speech,fifth three percent graduate liber art college day cant find job,"[0.0, 1.0, 0.0, 0.0]",0,0.0
8890,5823.json,barely-true,"Before the HOPE scholarship, 70 percent of the high school students who made 1400 or above on their SAT left the state of Georgia. Now, 70 percent of those stay in the state of Georgia.",education,nathan-deal,0,0,republican,9.0,5.0,11.0,11.0,0.0,a speech before the Atlanta Press Club,hope scholarship percent high school student made sat left state georgia percent stay state georgia,"[0.0, 0.828, 0.172, 0.4404]",0,0.4404
8919,8166.json,mostly-true,60 percent of Texas 8th graders are not proficient in math. Only 26% have a teacher with a undergraduate major in math.,education,george-p-bush,"Vice president, Charter Holdings real estate investment partnership",Texas,republican,1.0,1.0,0.0,1.0,0.0,a Twitter post,percent text th grader profit math teacher undergrad major math,"[0.0, 0.756, 0.244, 0.4404]",0,0.4404
8949,2391.json,false,On whether President Obamas speeches to school children spread socialist ideology.,education,jim-greer,0,Florida,republican,0.0,0.0,0.0,0.0,0.0,a statement to the press,whether presid obama speech school child spread socialist ideology,"[0.0, 1.0, 0.0, 0.0]",0,0.0
8962,5355.json,true,"Says if we raise the number of third-graders who read at a third-grade level, we affect everything, from graduation rates to incarceration rates.",education,ben-cannon,Education Adviser,Oregon,democrat,0.0,0.0,0.0,0.0,0.0,a Portland Monthly article.,say rais number third grader read third grade level affect every graduate rate scarcer rate,"[0.0, 0.915, 0.085, 0.0772]",0,0.0772
9006,11675.json,half-true,Most of the black scientists in this country dont come from schools like the University of Texas. They come from lesser schools.,education,antonin-scalia,Supreme Court Associate Justice,0,none,0.0,0.0,1.0,0.0,0.0,a Supreme Court hearing,black scientist country dont come school like univers text come lesser school,"[0.161, 0.839, 0.0, -0.2755]",0,-0.2755
9102,4235.json,false,Atlanta Public Schools 2011 CRCT tests were given under the strictest security possible.,education,beverly-hall,0,0,none,0.0,2.0,0.0,0.0,1.0,a mailer,atlanta public school crit test given strictest secur possibl,"[0.0, 1.0, 0.0, 0.0]",0,0.0
9158,2039.json,true,Only about a third of Texans who enroll in college graduate.,education,scott-hochberg,state representative ,Texas,democrat,0.0,0.0,0.0,0.0,0.0,a speech at a caucus at the Texas Democratic convention,third texan enroll college graduate,"[0.0, 1.0, 0.0, 0.0]",0,0.0
9189,9677.json,half-true,The Obama administrations policies have reduced minority dropout rate by 25 percent.,education,joe-biden,U.S. senator,Delaware,democrat,11.0,10.0,21.0,16.0,4.0,a speech to the NAACP in Las Vegas,obama administr police reduc minor dropout rate percent,"[0.0, 1.0, 0.0, 0.0]",0,0.0
9191,11975.json,barely-true,The Every Student Succeeds Act did away basically with Common Core.,education,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,a newspaper interview,every student succeed act away basic common core,"[0.0, 0.686, 0.314, 0.4939]",0,0.4939
9315,5291.json,mostly-true,United States of America is twenty-sixth in school performance in the world.,education,jim-whelan,0,0,democrat,0.0,0.0,2.0,1.0,0.0,a speech on the state Senate floor,unit state america twenty sixth school perform world,"[0.0, 1.0, 0.0, 0.0]",0,0.0
9337,3467.json,mostly-true,"The HOPE scholarship has helped turn our University System into one of the best in the Southeast, with two institutions ranked in the top 20 of public universities in the country.",education,nathan-deal,0,0,republican,9.0,5.0,11.0,11.0,0.0,an op-ed in The Atlanta Journal-Constitution,hope scholarship help turn univers system one best southeast two institut rank top public univers country,"[0.0, 0.508, 0.492, 0.891]",0,0.891
9340,5380.json,mostly-true,"Says in his years as a Texas legislator, we passed three pay increases for teachers and provided them with health insurance.",education,paul-sadler,Lawyer,Texas,democrat,1.0,0.0,1.0,2.0,1.0,a post on his campaign's Facebook page,say year text legis pass three pay increas teacher provid health insur,"[0.113, 0.887, 0.0, -0.1027]",0,-0.1027
9351,5854.json,false,"Under the Romney/Ryan budget, interest rates on federal student loans would be allowed to double.",education,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a graphical tool on the campaign website,romney ryan budget interest rate feder student loan would allow doubl,"[0.0, 0.647, 0.353, 0.5994]",0,0.5994
9516,8194.json,barely-true,"Three years after getting the $100 million (from Mark Zuckerberg), less than two-thirds of students in Cory Bookers Newark graduate.",education,bookerfail,0,0,none,1.0,0.0,1.0,0.0,0.0,a YouTube video,three year get million mark zuckerberg le two third student core booker newark graduate,"[0.0, 1.0, 0.0, 0.0]",0,0.0
9622,3163.json,half-true,Says 25 percent of Austins public school buildings are underutilized.,education,janet-mitchell,Volunteer task force co-chair,Texas,none,0.0,0.0,1.0,0.0,0.0,an interview.,say percent austin public school build undersoil,"[0.0, 1.0, 0.0, 0.0]",0,0.0
9672,6216.json,true,Says tenure still exists but its been overhauled for teachers in New Jersey.,education,stephen-sweeney,State Senator,0,democrat,1.0,2.0,3.0,1.0,0.0,an interview on WNYC’s The Brian Lehrer Show,say tenure still exist overhaul teacher new jersey,"[0.0, 1.0, 0.0, 0.0]",0,0.0
9677,5003.json,mostly-true,Says 77 percent of Portlands students finish elementary school without taking even one art class.,education,creative-advocacy-network,0,Oregon,none,0.0,0.0,1.0,1.0,0.0,a tweet,say percent portland student finish elementary school without take even one art class,"[0.0, 1.0, 0.0, 0.0]",0,0.0
9707,1865.json,half-true,Our school test scores are right at the bottom.,education,thurbert-baker,Attorney General,Georgia,democrat,0.0,0.0,1.0,0.0,0.0,a speech,school test score right bottom,"[0.0, 1.0, 0.0, 0.0]",0,0.0
9714,8422.json,barely-true,Common Core means there are over 300 data elements the government is going to be collecting about your children and about you.,education,tim-curtis,9-12 member in Tampa,Florida,democrat,1.0,0.0,0.0,0.0,0.0,a meeting about Common Core in Tampa,common core mean data element govern go collect child,"[0.0, 1.0, 0.0, 0.0]",0,0.0
9803,1694.json,true,"Crist sent his ""top policy staffer to the House Committee to testify in support of the proposal,"" then vetoed the bill.",education,adam-hasner,0,Florida,republican,2.0,1.0,4.0,4.0,0.0,a press release.,crist sent top police staffer hous committe testify support propos veto bill,"[0.0, 0.69, 0.31, 0.5423]",0,0.5423
9829,919.json,mostly-true,"In Chicago, school is never canceled because of winter weather.",education,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,in a meeting with business leaders,chicago school never cancel winter weather,"[0.0, 0.742, 0.258, 0.1877]",0,0.1877
9865,7069.json,barely-true,Says Ovide Lamontagne wants to eliminate kindergarten.,education,new-hampshire-democratic-party,0,New Hampshire,democrat,4.0,0.0,3.0,3.0,0.0,a campaign mailer to New Hampshire residents ,say void lamontagn want elimi kindergarten,"[0.0, 0.794, 0.206, 0.0772]",0,0.0772
9911,4754.json,half-true,"In Georgia, hard-earned lottery dollars are doled out to the scion[s] of wealthy families.",education,rainbowpush-coalition,0,0,democrat,0.0,0.0,1.0,0.0,0.0,a press release,georgia hard earn lottery dollar dole scion wealth famili,"[0.121, 0.603, 0.276, 0.4215]",0,0.4215
9978,9122.json,mostly-true,Says Rick Scott presided over cuts to the Bright Futures college scholarship program.,education,american-bridge-21st-century,0,0,democrat,2.0,1.0,0.0,3.0,0.0,an online video,say rick scott presid cut bright futur college scholarship program,"[0.162, 0.615, 0.223, 0.2023]",0,0.2023
10064,2018.json,half-true,"Today, Florida is in 50th place in spending on education.",education,bud-chiles,0,Florida,independent,0.0,0.0,1.0,0.0,0.0,a statement on his campaign website,today florida th place spend educ,"[0.0, 1.0, 0.0, 0.0]",0,0.0
10084,10659.json,half-true,Dallas African-American and Hispanic students pass AP exams at a higher rate than any other place in America.,education,greg-abbott,governor,Texas,republican,11.0,3.0,8.0,6.0,5.0,his State of the State address,dalla african american hispana student pas ap exam higher rate place america,"[0.0, 1.0, 0.0, 0.0]",0,0.0
10112,9183.json,mostly-true,Seventy-two percent of Georgians did not have a chance to finish college.,education,karen-handel,0,0,republican,2.0,0.0,3.0,3.0,1.0,an email,seventh two percent georgian chanc finish college,"[0.0, 1.0, 0.0, 0.0]",0,0.0
10156,3400.json,false,Says students who receive free or reduced lunch are performing just as well as students who do not.,education,thad-altman,State Senator,Florida,republican,0.0,1.0,0.0,0.0,0.0,comments while discussing merit pay for teachers,say student receiv free reduc lunch perform well student,"[0.0, 0.565, 0.435, 0.6597]",0,0.6597
10240,edu27,false,"Harvard Law, Moving to Limit Applicant Pool, Will Not Accept Scholastic Aptitude Test",education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,harvard law move limit applic pool accept scholars aptitude test,"[0.0, 0.776, 0.224, 0.3818]",0,0.3818
10241,edu26,false,North Carolina teacher indoctrinates his students into personal gang.,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,north carolina teacher indoctrin student person gang,"[0.0, 1.0, 0.0, 0.0]",0,0.0
10242,edu25,false,"School Starts Too Late In The Morning, State Lawmaker Says",education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,school start late morn state lawman say,"[0.0, 1.0, 0.0, 0.0]",0,0.0
10243,edu24,false,Hillary Clinton: Keynote Speaker at Wellesley College,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,hillary clinton keynote speaker wellesley college,"[0.0, 1.0, 0.0, 0.0]",0,0.0
10244,edu23,false,Torona Cancels U.S. Class Trips Due To Trump Calling Canadians Low Energy Cowards.,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,corona cancel u class trip due trump call canadian low energy coward,"[0.438, 0.432, 0.13, -0.6124]",-1,-0.6124
10245,edu22,false,"U.S. Schools Easy, Full of Sports, Says exchange students",education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,u school easi full sport say exchange student,"[0.0, 1.0, 0.0, 0.0]",0,0.0
10246,edu21,false,Donald Trump's Win To The Presidency Causes Freshman To Be Emotionally Unprepared for College,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,donald trump win presid caus freshman emit unprepared college,"[0.0, 0.678, 0.322, 0.5859]",0,0.5859
10247,edu20,false,Google cancels future funding towards closing the education gap.,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,google cancel futur fund toward close educ gap,"[0.222, 0.778, 0.0, -0.25]",0,-0.25
10248,edu19,false,"Nutrition has no effect on children's school performance, according to politicians",education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,nutria effect child school perform accord politician,"[0.0, 1.0, 0.0, 0.0]",0,0.0
10249,edu18,false,Students wield guns dressed up like sex toys and University of Texas to support open carry Law at University of Texas,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,student wield gun dress like sex toy univers text support open carry law univers text,"[0.122, 0.612, 0.265, 0.4215]",0,0.4215
10250,edu17,false,ILLEGAL IMMIGRANTS BEING RECRUITED TO FILL TEACHING VACANCIES IN MULTIPLE STATES,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,iller immigra recruit fill teach vacant multiple state,"[0.0, 1.0, 0.0, 0.0]",0,0.0
10251,edu16,false,Obama Administration sets new rule for children entering High School,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,obama administr set new rule child enter high school,"[0.0, 1.0, 0.0, 0.0]",0,0.0
10252,edu15,false,Racial Bias Study Shows Bad Behavior Along Racial Lines ,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,racial bias study show bad behavior along racial line,"[0.412, 0.588, 0.0, -0.5994]",0,-0.5994
10253,edu14,false,Microsoft Aims to spread liberalism on the success of 'Minecraft',education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,microsoft aim spread liber success mineshaft,"[0.0, 0.575, 0.425, 0.5719]",0,0.5719
10254,edu31,true,Wi-Fi Microscopes Help Texas Students With Science,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,wi fi microscope help text student science,"[0.0, 0.69, 0.31, 0.4019]",0,0.4019
10255,edu30,true,Immigration Controversy Could Drive Up College Costs,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,immigra controversy could drive college cost,"[0.0, 1.0, 0.0, 0.0]",0,0.0
10256,edu29,true,STEM Students Create Winning Invention,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,stem student creat win invent,"[0.0, 0.513, 0.487, 0.5859]",0,0.5859
10257,edu28,true,Healthier Cereals Snare a Spot on New York School Menus ,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,healthier cereal snare spot new york school menu,"[0.0, 1.0, 0.0, 0.0]",0,0.0
10258,edu27,true,"Harvard Law, Moving to Diversify Applicant Pool, Will Accept GRE Scores ",education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,harvard law move diversify applic pool accept gre score,"[0.0, 0.755, 0.245, 0.3818]",0,0.3818
10259,edu26,true,This Teacher Has Personalized Handshakes For All 40 Of His Students,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,teacher person handshake student,"[0.0, 1.0, 0.0, 0.0]",0,0.0
10260,edu25,true,"School Starts Too Early In The Morning, State Lawmaker Says",education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,school start early morn state lawman say,"[0.0, 1.0, 0.0, 0.0]",0,0.0
10261,edu24,true,Hillary Clinton To Deliver Wellesley College's 2017 Commencement Address ,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,hillary clinton deliv wellesley college comment address,"[0.0, 1.0, 0.0, 0.0]",0,0.0
10262,edu23,true,Toronto Cancels U.S. Class Trips Due To Trump Travel Ban Concerns,education,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,toronto cancel u class trip due trump travel ban concern,"[0.444, 0.556, 0.0, -0.6808]",0,-0.6808
